Feature,SHAP Value
SoPfxTyp,0.06392426745894568
SoPfxRead,0.05795206676470634
SRMDfRet,0.020618172226683572
PrimitiveParam,0.017318989261928444
ClsNmCtnDb,0.010628077061376376
ClsNmCtnGeneral,0.008776389067264107
SRMDfThis,0.008204271426161355
ParamTypCtnByte[],0.006666089369501554
SiSRMInvkSet,0.005964580313916397
DbParamNR,0.004530620219466784
ParamDfThis,0.004247862366910438
MixedSRMInvkDo,0.0040410378083842735
SiPfxWrite,0.0036346704113715197
DbRtnNR,0.0018975531922446678
GeneralRtnNR,0.001874498858227075
ParamTypCtnStr,0.0018323380537195733
SiSRMInvkFine,0.0016874684659880096
SiPfxLog,0.0014011374208235013
ClsNmCtnXml,0.001248595071415698
SiPfxAdd,0.0006238556795305286
MtdNm,0.0005700048253307541
SiPfxTyp,0.00042055310879860613
SiPfxUpdate,0.000363158504377091
GeneralParamNR,0.00023339391387792313
MixedPfxTyp,0.0002158442013473691
ParamTypCtnChar[],0.0001590111053706919
SoPfxParse,5.8920781247532444e-05
SoSRMInvkPull,1.4374426882138303e-05
SiSRMInvkWrite,3.842455335620332e-06
GuiParamNR,1.6545833571302015e-08
SoPfxFind,0.0
MixedSRMInvkCopy,0.0
MixedPfxDo,0.0
SoSRMInvkParse,0.0
SoSRMInvkRemove,0.0
SiPfxEval,0.0
SoSRMInvkFind,0.0
SiPfxExec,0.0
SoPfxRemove,0.0
MixedPfxCopy,0.0
MixedPfxMove,0.0
tag,0.0
ParamDfSRM,0.0
GuiNR,0.0
DbNR,0.0
LogParamNR,0.0
SiSRMInvkRun,0.0
SiSRMInvkUpdate,0.0
SiSRMInvkSave,0.0
SoSRMInvkPeek,0.0
SoSRMInvkPoll,0.0
SoSRMInvkList,0.0
SoSRMInvkRetrieve,0.0
MixedSRMInvkMove,0.0
SoSRMInvkAs,0.0
SoSRMInvkElement,0.0
SiSRMInvkAdd,0.0
SiPfxSave,0.0
SiPfxPrint,0.0
SiPfxRun,0.0
SiSRMInvkSevere,0.0
SiSRMInvkEval,0.0
SiSRMInvkExec,0.0
SiSRMInvkLog,0.0
SiSRMInvkSend,0.0
SiSRMInvkFormat,0.0
SiSRMInvkOffer,0.0
SiSRMInvkError,0.0
SiSRMInvkFatal,0.0
SiSRMInvkInfo,0.0
SiSRMInvkPush,0.0
SiSRMInvkInsert,0.0
SiSRMInvkPrint,0.0
XmlRtnNR,0.0
XmlParamNR,0.0
ConcreteMtd,0.0
XmlNR,0.0
SRMDfParam,0.0
LogRtnNR,0.0
WebRtnNR,0.0
WebNR,0.0
SiSRMInvkConfig,0.0
LogNR,0.0
FileNR,0.0
GeneralNR,0.0
SiSRMInvkDebug,0.0
SiSRMInvkTrace,0.0
SiSRMInvkWarn,0.0
GuiRtnNR,0.0
ParamTypCtnStr[],-5.763683003423559e-06
SiPfxSet,-2.3575160693074804e-05
FileParamNR,-0.00016603174946132337
SoPfxGet,-0.0004944418447058729
WebParamNR,-0.0013855991280488887
SiPfxSend,-0.0018146744239570037
ClsNmCtnLog,-0.0030291360032240686
IsConcreteCls,-0.0032426590214680515
IsInterface,-0.0044901594885860124
FileRtnNR,-0.005367300074686519
IsAbstractCls,-0.0053747860811520914
ClsNmCtnGui,-0.006058547439755854
SoSRMInvkRead,-0.007464391132906575
SoSRMInvkGet,-0.02640579771862643
ClsNmCtnFile,-0.03219057433711571
ClsNmCtnWeb,-0.04409857592666026
