Feature,SHAP Value
SiPfxTyp,0.005168158340194177
SiSRMInvkLog,0.004084201201435902
SiSRMInvkWarn,0.0023243513149515376
SRMDfThis,0.001938417618403859
SoPfxGet,0.0015996218407423601
SoSRMInvkFind,0.0012789226538012155
GeneralRtnNR,0.0012491882530868866
DbRtnNR,0.001104631172720724
ParamDfThis,0.0010420224486273819
SiPfxUpdate,0.00041608267437800214
ClsNmCtnLog,0.0004036994058951686
IsAbstractCls,0.0003950181852778985
PrimitiveParam,0.00036551454365338354
SiSRMInvkConfig,0.00030228799563019985
SiPfxExec,0.00020842233776977113
ClsNmCtnXml,0.0001898463986358557
SiPfxSet,9.375682099634422e-05
SoPfxRead,1.679098786080968e-06
IsConcreteCls,2.0384881892730744e-07
SiSRMInvkSet,0.0
MixedSRMInvkDo,0.0
MixedSRMInvkMove,0.0
SoSRMInvkPoll,0.0
SoSRMInvkPeek,0.0
SoSRMInvkList,0.0
SiSRMInvkSave,0.0
SiSRMInvkUpdate,0.0
SiSRMInvkRun,0.0
MixedPfxMove,0.0
SiPfxRun,0.0
SiPfxSave,0.0
SiPfxSend,0.0
SiPfxAdd,0.0
SoSRMInvkParse,0.0
SiPfxPrint,0.0
SoSRMInvkRemove,0.0
SiPfxEval,0.0
SoSRMInvkRetrieve,0.0
MixedPfxDo,0.0
SoPfxFind,0.0
SoPfxRemove,0.0
ConcreteMtd,0.0
tag,0.0
SRMDfParam,0.0
ParamTypCtnChar[],0.0
WebNR,0.0
LogRtnNR,0.0
DbNR,0.0
WebRtnNR,0.0
MixedSRMInvkCopy,0.0
SoSRMInvkElement,0.0
SoSRMInvkPull,0.0
SoSRMInvkAs,0.0
SiSRMInvkAdd,0.0
SiSRMInvkEval,0.0
SiSRMInvkSend,0.0
SiSRMInvkPush,0.0
SiSRMInvkFine,0.0
SiSRMInvkSevere,0.0
GeneralNR,0.0
SiSRMInvkDebug,0.0
FileParamNR,0.0
FileNR,0.0
LogParamNR,0.0
SiSRMInvkExec,0.0
SiSRMInvkFormat,0.0
SiSRMInvkOffer,0.0
SiSRMInvkError,0.0
SiSRMInvkFatal,0.0
SiSRMInvkInfo,0.0
SiSRMInvkTrace,0.0
SiSRMInvkInsert,0.0
SiSRMInvkPrint,0.0
LogNR,0.0
ParamDfSRM,0.0
GuiParamNR,0.0
GuiNR,0.0
GuiRtnNR,0.0
XmlNR,0.0
XmlRtnNR,0.0
SiPfxLog,-6.560770725964893e-07
SiSRMInvkWrite,-7.357769940888326e-07
SoPfxParse,-2.1616931489554236e-06
SiPfxWrite,-5.38788845993992e-05
ParamTypCtnStr[],-6.037274852823543e-05
MixedPfxCopy,-0.0001479295839153169
MixedPfxTyp,-0.0011162093095348422
FileRtnNR,-0.0011270472271553839
ParamTypCtnByte[],-0.0012897045667953563
ClsNmCtnGeneral,-0.0016391526221735076
GeneralParamNR,-0.00245951767716749
DbParamNR,-0.0030529839207847076
ClsNmCtnGui,-0.0036953564897717964
SoSRMInvkRead,-0.003984168408156054
IsInterface,-0.0054087609038522624
SoSRMInvkGet,-0.005438451837580311
MtdNm,-0.006949588487323908
ParamTypCtnStr,-0.009891853436168923
ClsNmCtnFile,-0.010303873657577147
WebParamNR,-0.011070339952501864
XmlParamNR,-0.01254879905016642
ClsNmCtnDb,-0.018460062976977106
ClsNmCtnWeb,-0.02379596900991033
SRMDfRet,-0.0511507109519969
SoPfxTyp,-0.06867531040125258
