Feature,SHAP Value
ClsNmCtnWeb,0.24558744393063978
SoPfxRead,0.1691118828214582
SoPfxTyp,0.11626263182299408
ParamDfThis,0.07919358316655006
ClsNmCtnDb,0.0458121343848445
SoSRMInvkGet,0.03821828972293398
SiPfxSet,0.007547527169382971
SiPfxTyp,0.006390784178816111
MixedPfxTyp,0.004974375432156494
ClsNmCtnGeneral,0.004485536543468262
MtdNm,0.00398558481812776
SiPfxWrite,0.003583883429861913
ParamTypCtnByte[],0.003237509367394531
GeneralParamNR,0.001951657412091641
ClsNmCtnXml,0.0017966793634502445
SRMDfThis,0.001666850813871315
GeneralRtnNR,0.0013178138675335946
SiPfxAdd,0.0011529015152607347
SoPfxParse,0.0010692842355605817
DbRtnNR,0.0010259787421919159
SiPfxUpdate,0.0009602478239816234
SoSRMInvkRetrieve,0.0007732825829080761
SiSRMInvkWrite,0.0007127220746575291
XmlParamNR,0.0006222136297283562
MixedPfxCopy,0.0005827345358527594
SoSRMInvkPeek,0.00023783772150206411
ParamTypCtnChar[],0.00022603336337300578
SiPfxLog,0.00020842233776975638
SiPfxSend,0.00020770208531943612
SiSRMInvkSet,8.437661954694559e-05
SiSRMInvkAdd,0.0
SoPfxFind,0.0
MixedPfxMove,0.0
MixedSRMInvkCopy,0.0
MixedPfxDo,0.0
SoPfxRemove,0.0
SiPfxPrint,0.0
SiPfxExec,0.0
SiPfxRun,0.0
SiPfxEval,0.0
SiPfxSave,0.0
tag,0.0
ConcreteMtd,0.0
SiSRMInvkUpdate,0.0
SiSRMInvkRun,0.0
MixedSRMInvkMove,0.0
MixedSRMInvkDo,0.0
SoSRMInvkElement,0.0
SiSRMInvkSave,0.0
SoSRMInvkPoll,0.0
SoSRMInvkList,0.0
SoSRMInvkPull,0.0
SoSRMInvkAs,0.0
SoSRMInvkRemove,0.0
SoSRMInvkFind,0.0
SoSRMInvkParse,0.0
SiSRMInvkExec,0.0
WebRtnNR,0.0
SiSRMInvkFine,0.0
SiSRMInvkDebug,0.0
SiSRMInvkSend,0.0
SiSRMInvkEval,0.0
SiSRMInvkPush,0.0
SiSRMInvkLog,0.0
SiSRMInvkPrint,0.0
SiSRMInvkOffer,0.0
SiSRMInvkFatal,0.0
SiSRMInvkError,0.0
SiSRMInvkInfo,0.0
SiSRMInvkTrace,0.0
SiSRMInvkWarn,0.0
SiSRMInvkInsert,0.0
SiSRMInvkFormat,0.0
GuiNR,0.0
GuiRtnNR,0.0
ParamTypCtnStr[],0.0
SRMDfParam,0.0
WebNR,0.0
LogRtnNR,0.0
DbNR,0.0
DbParamNR,0.0
LogNR,0.0
LogParamNR,0.0
FileNR,0.0
GeneralNR,0.0
SiSRMInvkConfig,0.0
ParamDfSRM,0.0
XmlNR,0.0
XmlRtnNR,0.0
GuiParamNR,-0.00019822918300625714
ClsNmCtnGui,-0.0012451352538060123
FileRtnNR,-0.0012474772440170326
IsConcreteCls,-0.0013268284491779886
SoPfxGet,-0.0015265821128816262
IsAbstractCls,-0.0016317491249722288
SoSRMInvkRead,-0.0036241338326862688
IsInterface,-0.005061093853099316
PrimitiveParam,-0.007109978486529063
FileParamNR,-0.008075639343703377
ClsNmCtnFile,-0.009824635938859825
ClsNmCtnLog,-0.012828058309861563
ParamTypCtnStr,-0.015982577402375183
WebParamNR,-0.01953954276703517
SRMDfRet,-0.020128450925284633
SiSRMInvkSevere,-0.020644921866501686
