Feature,SHAP Value
GeneralParamNR,0.07275960006828841
SiSRMInvkWrite,0.05279319148675061
ParamDfThis,0.038703469707653995
SRMDfRet,0.024493811072895368
PrimitiveParam,0.013350344442943099
SiPfxTyp,0.012378753580884222
SRMDfThis,0.00992000273995601
SiSRMInvkSevere,0.009791739853213285
ParamTypCtnStr,0.006846580426085838
SiSRMInvkWarn,0.006751540024338039
ParamTypCtnStr[],0.006497701124603732
SoSRMInvkParse,0.00486242421194177
SiSRMInvkDebug,0.003422329456643197
ClsNmCtnGeneral,0.003354097939963066
FileParamNR,0.002521395632723838
MixedPfxCopy,0.0022877321289139045
DbRtnNR,0.0016634682096299432
ClsNmCtnXml,0.001455540053638963
SiSRMInvkOffer,0.0013953992987134622
DbParamNR,0.0011789271512305764
SiPfxSet,0.0008780224874326281
MixedPfxTyp,0.0008329724267359395
WebParamNR,0.0004793857574341212
SiPfxSend,0.00045316337180188737
SiPfxAdd,0.0004510548535566622
LogParamNR,0.0003605767364907794
SRMDfParam,0.00035354749162131924
ParamTypCtnByte[],0.00017588004863661882
XmlParamNR,0.00011135909357891383
SiPfxUpdate,0.00010715964595939265
SiSRMInvkError,5.556731737593745e-05
SiSRMInvkPrint,2.7783658687968726e-05
SiPfxLog,9.255454062884194e-09
MixedSRMInvkCopy,0.0
MixedSRMInvkMove,0.0
MixedSRMInvkDo,0.0
SoSRMInvkPeek,0.0
SoPfxFind,0.0
MixedPfxMove,0.0
SoPfxRemove,0.0
MixedPfxDo,0.0
XmlRtnNR,0.0
ParamDfSRM,0.0
DbNR,0.0
WebRtnNR,0.0
LogNR,0.0
FileNR,0.0
LogRtnNR,0.0
WebNR,0.0
SoSRMInvkRetrieve,0.0
SoSRMInvkElement,0.0
SoSRMInvkPull,0.0
SoSRMInvkAs,0.0
SiSRMInvkAdd,0.0
SiSRMInvkRun,0.0
SiSRMInvkUpdate,0.0
SiSRMInvkSave,0.0
SiPfxSave,0.0
SoSRMInvkList,0.0
SoSRMInvkPoll,0.0
SoSRMInvkFind,0.0
SiPfxPrint,0.0
SiPfxEval,0.0
SiPfxExec,0.0
SoSRMInvkRemove,0.0
SiPfxRun,0.0
SiSRMInvkTrace,0.0
SiSRMInvkFine,0.0
SiSRMInvkInsert,0.0
SiSRMInvkFormat,0.0
SiSRMInvkExec,0.0
SiSRMInvkSend,0.0
SiSRMInvkLog,0.0
ConcreteMtd,0.0
tag,0.0
GuiParamNR,0.0
XmlNR,0.0
SiSRMInvkInfo,0.0
SiSRMInvkFatal,0.0
GuiNR,0.0
GuiRtnNR,0.0
SiSRMInvkConfig,0.0
GeneralNR,0.0
SiSRMInvkPush,0.0
SiSRMInvkEval,0.0
SoPfxParse,-2.1616931489554236e-06
ClsNmCtnGui,-0.00010489593297911479
IsAbstractCls,-0.00017990340529679474
MtdNm,-0.0005315666455260673
ParamTypCtnChar[],-0.001182284145953602
GeneralRtnNR,-0.0012469363007444403
ClsNmCtnLog,-0.0014995166672897055
IsConcreteCls,-0.002102307318697774
SoPfxGet,-0.0024963331224694685
IsInterface,-0.0025103314797022547
SiPfxWrite,-0.0034587860880571294
FileRtnNR,-0.0034661358531038744
SoSRMInvkRead,-0.005758033025551279
SiSRMInvkSet,-0.006082302440684192
SoSRMInvkGet,-0.008663105243998114
ClsNmCtnFile,-0.01235219645085249
ClsNmCtnWeb,-0.01758322146761023
ClsNmCtnDb,-0.020812358395173484
SoPfxTyp,-0.027832212282552178
SoPfxRead,-0.049712687894426004
