Feature,SHAP Value
SoSRMInvkGet,0.07379559210486221
WebParamNR,0.07244935167434767
SRMDfThis,0.06461459806081567
DbRtnNR,0.05575133323004482
ParamTypCtnStr[],0.05200059275136014
ClsNmCtnDb,0.050022946466362156
ClsNmCtnWeb,0.0498111957018639
FileParamNR,0.048866826671182875
ParamTypCtnByte[],0.04031391024415877
SiPfxTyp,0.032424935498542404
SoPfxTyp,0.02243393576722176
SRMDfRet,0.01911005345064
ClsNmCtnFile,0.01710511329502773
MtdNm,0.011282779044543723
PrimitiveParam,0.010123276829710953
GeneralParamNR,0.00796940188125475
SoPfxRead,0.007461887179177368
SiSRMInvkSet,0.005666330860849861
SiSRMInvkSave,0.004031101550426006
SiSRMInvkPush,0.0033935053729386155
ClsNmCtnGui,0.0031922130852043012
SiSRMInvkConfig,0.0028142850192429125
ClsNmCtnGeneral,0.002179602227077776
FileRtnNR,0.002080089076628891
ClsNmCtnLog,0.0018027088348258336
SiPfxSend,0.001033755247518045
IsAbstractCls,0.0009599339557317677
SiPfxAdd,0.0007865307579577874
MixedPfxCopy,0.0006484817077878346
SoSRMInvkRead,0.0005511164648463185
LogParamNR,0.00045774024226113985
SiPfxUpdate,0.0004164862133679975
DbParamNR,0.00032112528550283514
SoPfxParse,0.0002760823915052141
SoSRMInvkRetrieve,0.00022912808451575062
SoPfxGet,0.0001760576874913211
SiSRMInvkEval,1.2023274058026168e-06
MixedPfxDo,0.0
MixedPfxMove,0.0
SoPfxFind,0.0
SoPfxRemove,0.0
XmlNR,0.0
SRMDfParam,0.0
LogRtnNR,0.0
DbNR,0.0
MixedSRMInvkMove,0.0
SiSRMInvkRun,0.0
SiSRMInvkAdd,0.0
SiSRMInvkUpdate,0.0
SoSRMInvkPoll,0.0
SoSRMInvkPeek,0.0
SoSRMInvkPull,0.0
SoSRMInvkAs,0.0
SoSRMInvkList,0.0
MixedSRMInvkDo,0.0
SoSRMInvkElement,0.0
MixedSRMInvkCopy,0.0
SiPfxSave,0.0
SiPfxRun,0.0
SiPfxPrint,0.0
SoSRMInvkParse,0.0
SiPfxLog,0.0
SoSRMInvkRemove,0.0
SoSRMInvkFind,0.0
SiPfxEval,0.0
WebNR,0.0
SiSRMInvkTrace,0.0
SiSRMInvkExec,0.0
SiSRMInvkLog,0.0
SiSRMInvkInsert,0.0
SiSRMInvkPrint,0.0
SiSRMInvkFormat,0.0
SiSRMInvkOffer,0.0
ConcreteMtd,0.0
GuiParamNR,0.0
tag,0.0
ParamDfSRM,0.0
LogNR,0.0
SiSRMInvkDebug,0.0
FileNR,0.0
WebRtnNR,0.0
GeneralNR,0.0
SiSRMInvkFatal,0.0
SiSRMInvkError,0.0
SiSRMInvkInfo,0.0
SiSRMInvkSevere,0.0
SiSRMInvkWarn,0.0
SiSRMInvkFine,0.0
XmlParamNR,0.0
GuiNR,0.0
XmlRtnNR,0.0
GuiRtnNR,0.0
ParamTypCtnChar[],-4.429397508851074e-05
SiPfxExec,-0.00011216684776557684
SiSRMInvkSend,-0.0004165462776894585
MixedPfxTyp,-0.0007495237495237506
IsInterface,-0.0009999168176968165
GeneralRtnNR,-0.0012126340324182805
ParamTypCtnStr,-0.0019256541928704823
SiPfxSet,-0.002328094153303553
SiSRMInvkWrite,-0.003490614883756349
ClsNmCtnXml,-0.004368661621325279
SiPfxWrite,-0.007116779177799598
IsConcreteCls,-0.008849284617712186
ParamDfThis,-0.0251317219594642
