Feature,SHAP Value
PrimitiveParam,0.11364066305416286
ClsNmCtnWeb,0.07511916407187941
ParamDfThis,0.07213799237858451
SoSRMInvkGet,0.05914625313489705
DbParamNR,0.0559626865854512
GeneralParamNR,0.03987038488500631
ParamTypCtnByte[],0.037205508072125956
SoPfxRead,0.0370844555320486
SRMDfThis,0.03283666784051671
SRMDfRet,0.020452412955546395
ClsNmCtnFile,0.01956450105927339
IsConcreteCls,0.01625152979375913
MtdNm,0.0143285427348646
ParamTypCtnStr,0.01013641389041288
DbRtnNR,0.010048644026776646
SiSRMInvkPrint,0.007799373443400898
ClsNmCtnLog,0.007159790471269092
SiPfxWrite,0.004741795483253236
SiSRMInvkUpdate,0.003760401467578306
SiPfxSend,0.0030146332219630756
FileRtnNR,0.002996962457920027
IsAbstractCls,0.00132191126508166
ClsNmCtnGui,0.0012472969469549816
MixedPfxCopy,0.0008318915801614896
SiSRMInvkConfig,0.0006481436102065419
ParamTypCtnChar[],0.0004933456919069962
FileParamNR,0.0003299518295272613
ConcreteMtd,0.00020473044932431406
ParamTypCtnStr[],9.117661455046444e-06
IsInterface,4.3267414767678147e-07
MixedSRMInvkCopy,0.0
SiPfxPrint,0.0
SiPfxSave,0.0
SoSRMInvkRemove,0.0
MixedSRMInvkMove,0.0
MixedPfxMove,0.0
MixedPfxDo,0.0
SiPfxExec,0.0
SoSRMInvkFind,0.0
SoPfxRemove,0.0
SoPfxFind,0.0
SiSRMInvkOffer,0.0
tag,0.0
WebParamNR,0.0
DbNR,0.0
LogParamNR,0.0
LogRtnNR,0.0
LogNR,0.0
WebRtnNR,0.0
SoSRMInvkRetrieve,0.0
SoSRMInvkElement,0.0
SoSRMInvkPull,0.0
SiSRMInvkSave,0.0
MixedSRMInvkDo,0.0
SiSRMInvkSet,0.0
SiSRMInvkAdd,0.0
SiSRMInvkRun,0.0
SiPfxRun,0.0
SoSRMInvkList,0.0
SoSRMInvkPoll,0.0
SoSRMInvkPeek,0.0
SoSRMInvkAs,0.0
SiPfxEval,0.0
SoSRMInvkParse,0.0
SiSRMInvkLog,0.0
SiSRMInvkTrace,0.0
SiSRMInvkFatal,0.0
SiSRMInvkError,0.0
SiSRMInvkEval,0.0
SiSRMInvkInsert,0.0
SiSRMInvkPush,0.0
SiSRMInvkFormat,0.0
SiSRMInvkSend,0.0
SRMDfParam,0.0
XmlNR,0.0
XmlParamNR,0.0
ParamDfSRM,0.0
XmlRtnNR,0.0
GuiNR,0.0
GuiRtnNR,0.0
WebNR,0.0
SiSRMInvkDebug,0.0
FileNR,0.0
GeneralNR,0.0
SiSRMInvkInfo,0.0
SiSRMInvkSevere,0.0
SiSRMInvkWarn,0.0
SiSRMInvkFine,0.0
SiSRMInvkExec,-1.7184255243773983e-07
GuiParamNR,-4.807227670933223e-07
SoSRMInvkRead,-1.4405049006960269e-06
SoPfxParse,-2.1616931489693014e-06
SiPfxUpdate,-0.0002505086345750418
MixedPfxTyp,-0.00033228472901015993
GeneralRtnNR,-0.0004666579944053867
SoPfxGet,-0.0006227157262798239
SiPfxLog,-0.00105368882606649
ClsNmCtnXml,-0.001924548912389884
ClsNmCtnDb,-0.002731003833716786
SiSRMInvkWrite,-0.0031891318028829108
ClsNmCtnGeneral,-0.0035121475164906213
SiPfxSet,-0.0037199674251783
SiPfxAdd,-0.0037714688736091295
SoPfxTyp,-0.007672164968350936
SiPfxTyp,-0.009285740325342712
