Feature,SHAP Value
PrimitiveParam,0.13920588242792842
GuiParamNR,0.0625850878024306
ClsNmCtnDb,0.0546381820996235
ClsNmCtnWeb,0.04282294157021792
DbParamNR,0.041973385700532065
SiSRMInvkFormat,0.01887463497943745
SiSRMInvkRun,0.017039544486097638
SoSRMInvkGet,0.016758708773153552
SoPfxTyp,0.016185207812834487
ParamTypCtnByte[],0.007848609656971317
ClsNmCtnFile,0.0071540262614924605
ParamTypCtnStr,0.007062327826155429
SRMDfRet,0.007004125791720495
ClsNmCtnGui,0.006656614880720044
SiPfxWrite,0.006568700158611371
SiPfxSend,0.006311790681401086
SiSRMInvkLog,0.005762697101153763
GeneralParamNR,0.0030859301804768424
ParamTypCtnChar[],0.0030856961710372527
MixedPfxTyp,0.002913506434689045
SiPfxTyp,0.0022309078816109135
FileRtnNR,0.002175364716742928
MixedPfxCopy,0.0016639015222288944
SiSRMInvkSend,0.0014776291626821952
ClsNmCtnGeneral,0.0014434899563850884
SoPfxGet,0.001311415322212281
SiPfxExec,0.0010401797903990262
SiPfxSet,0.0009534026278325974
SoSRMInvkRead,0.0005002595002595034
MtdNm,0.0004732674679751997
WebParamNR,0.00041774642120662175
MixedSRMInvkCopy,0.0
MixedSRMInvkMove,0.0
SoSRMInvkRemove,0.0
SoSRMInvkFind,0.0
SiPfxEval,0.0
MixedPfxDo,0.0
SoPfxFind,0.0
SoPfxRemove,0.0
MixedPfxMove,0.0
SiPfxRun,0.0
SRMDfParam,0.0
tag,0.0
DbNR,0.0
WebRtnNR,0.0
LogParamNR,0.0
LogNR,0.0
LogRtnNR,0.0
SiSRMInvkSave,0.0
SoSRMInvkRetrieve,0.0
SoSRMInvkElement,0.0
SoSRMInvkPull,0.0
SoSRMInvkAs,0.0
MixedSRMInvkDo,0.0
SiSRMInvkSet,0.0
SiSRMInvkAdd,0.0
SiSRMInvkUpdate,0.0
SiPfxSave,0.0
SoSRMInvkList,0.0
SoSRMInvkPoll,0.0
SoSRMInvkPeek,0.0
SiPfxPrint,0.0
SiSRMInvkSevere,0.0
SiSRMInvkFine,0.0
SiSRMInvkExec,0.0
SiSRMInvkOffer,0.0
SiSRMInvkFatal,0.0
SiSRMInvkError,0.0
SiSRMInvkInfo,0.0
SiSRMInvkPrint,0.0
SiSRMInvkEval,0.0
SiSRMInvkPush,0.0
SiSRMInvkInsert,0.0
GuiNR,0.0
XmlRtnNR,0.0
ConcreteMtd,0.0
ParamDfSRM,0.0
GuiRtnNR,0.0
SiSRMInvkWarn,0.0
XmlNR,0.0
WebNR,0.0
SiSRMInvkConfig,0.0
SiSRMInvkDebug,0.0
FileNR,0.0
GeneralNR,0.0
SiSRMInvkTrace,0.0
XmlParamNR,0.0
SoPfxParse,-2.1616931489554236e-06
IsInterface,-2.6218067512753795e-05
FileParamNR,-0.00037417891147659144
GeneralRtnNR,-0.0006221729066899773
ParamTypCtnStr[],-0.0006599038181191869
SiPfxUpdate,-0.0009492874797733808
ClsNmCtnXml,-0.001192986637533186
SRMDfThis,-0.0018756894532685336
SoSRMInvkParse,-0.002185690850987132
SiPfxAdd,-0.0022095717502477186
DbRtnNR,-0.002377601330267265
SoPfxRead,-0.002968590067065166
SiSRMInvkWrite,-0.005422352857922655
SiPfxLog,-0.005959278250213584
ClsNmCtnLog,-0.007280623218160004
IsAbstractCls,-0.008768147154909228
ParamDfThis,-0.016704794848379084
IsConcreteCls,-0.017601789162558806
