Feature,SHAP Value,instance
SiSRMInvkTrace,0.0,1
SiSRMInvkFine,0.0,1
SiSRMInvkEval,0.0,1
SiSRMInvkInsert,0.0,1
SiSRMInvkFatal,0.0,1
GuiNR,0.0,1
LogNR,0.0,1
GeneralNR,0.0,1
FileNR,0.0,1
GuiRtnNR,0.0,1
XmlNR,0.0,1
WebNR,0.0,1
DbParamNR,0.0,1
SiSRMInvkDebug,0.0,1
XmlParamNR,0.0,1
XmlRtnNR,0.0,1
SiSRMInvkExec,-0.0001250066141617,1
SiSRMInvkOffer,-0.0001939462249222,1
GeneralRtnNR,-0.0002646429370046,1
SiPfxSet,-0.0002921085598429,1
WebParamNR,-0.0003001261028124,1
ParamTypCtnByte[],-0.000355306059469,1
MixedPfxCopy,-0.0004090453026467,1
SiPfxLog,-0.0010407946406983,1
MixedPfxTyp,-0.0014041149510959,1
SoPfxGet,-0.0018707649931919,1
SiPfxUpdate,-0.0019542983476338,1
ClsNmCtnXml,-0.0020685755433958,1
DbRtnNR,-0.0022263176267517,1
GeneralParamNR,-0.007306525698077,1
ParamDfThis,-0.009059423008087,1
SoSRMInvkGet,-0.014174850178532,1
ClsNmCtnGeneral,-0.0178363646548738,1
ClsNmCtnDb,-0.0312665527468691,1
SRMDfThis,-0.0682965138276658,1
SoPfxTyp,-0.1071475264751306,1
ParamTypCtnStr,-0.1118918075381433,1
XmlParamNR,0.129798092410456,2
WebParamNR,0.0840270198899664,2
SoPfxTyp,0.0577133543027128,2
ClsNmCtnDb,0.0514423948840825,2
ParamTypCtnStr,0.0483200606013893,2
ClsNmCtnWeb,0.0441730937887719,2
MtdNm,0.0188841628354453,2
SiSRMInvkLog,0.0093902572340924,2
DbParamNR,0.0067655262847955,2
ClsNmCtnFile,0.0064278139472081,2
SoSRMInvkFind,0.0054747186010838,2
SiPfxExec,0.0043705230710339,2
ClsNmCtnGui,0.0033586459200434,2
SoSRMInvkGet,0.0024282335398561,2
SRMDfThis,0.0023522134672676,2
MixedPfxTyp,0.0022433559921568,2
IsInterface,0.002070885914198,2
MixedPfxCopy,0.0020598536012943,2
SiPfxWrite,0.0018938803355218,2
ClsNmCtnGeneral,0.0012390516398678,2
SoSRMInvkRead,0.0011298517804392,2
FileRtnNR,0.0011122780415103,2
ClsNmCtnXml,0.0009037145150634,2
SiPfxSet,0.0003228000997621,2
SoSRMInvkList,0.0,2
MixedSRMInvkMove,0.0,2
MixedSRMInvkDo,0.0,2
SoSRMInvkPoll,0.0,2
MixedPfxDo,0.0,2
SoPfxFind,0.0,2
MixedPfxMove,0.0,2
SiPfxRun,0.0,2
SiPfxAdd,0.0,2
SoSRMInvkRemove,0.0,2
SiPfxSend,0.0,2
SiPfxSave,0.0,2
SiPfxPrint,0.0,2
SoSRMInvkParse,0.0,2
SiPfxEval,0.0,2
SoSRMInvkPeek,0.0,2
SoPfxRemove,0.0,2
XmlNR,0.0,2
SRMDfParam,0.0,2
tag,0.0,2
ConcreteMtd,0.0,2
LogParamNR,0.0,2
WebRtnNR,0.0,2
SiSRMInvkAdd,0.0,2
SiSRMInvkRun,0.0,2
MixedSRMInvkCopy,0.0,2
SoSRMInvkElement,0.0,2
SoSRMInvkPull,0.0,2
SoSRMInvkAs,0.0,2
SoSRMInvkRetrieve,0.0,2
SiSRMInvkSet,0.0,2
SiSRMInvkUpdate,0.0,2
SiSRMInvkSave,0.0,2
WebNR,0.0,2
SiSRMInvkFine,0.0,2
SiSRMInvkSevere,0.0,2
SiSRMInvkDebug,0.0,2
SiSRMInvkEval,0.0,2
SiSRMInvkExec,0.0,2
SiSRMInvkSend,0.0,2
SiSRMInvkPrint,0.0,2
SiSRMInvkOffer,0.0,2
SiSRMInvkFatal,0.0,2
SiSRMInvkError,0.0,2
SiSRMInvkInfo,0.0,2
SiSRMInvkTrace,0.0,2
SiSRMInvkPush,0.0,2
SiSRMInvkInsert,0.0,2
SiSRMInvkFormat,0.0,2
ParamTypCtnChar[],0.0,2
ParamDfSRM,0.0,2
LogNR,0.0,2
FileParamNR,0.0,2
GuiParamNR,0.0,2
GuiNR,0.0,2
LogRtnNR,0.0,2
DbNR,0.0,2
GeneralNR,0.0,2
FileNR,0.0,2
GuiRtnNR,0.0,2
XmlRtnNR,0.0,2
SoPfxParse,-2.161693148969301e-06,2
SoPfxRead,-6.963930618192338e-06,2
ParamTypCtnByte[],-4.576897298898264e-05,2
SiSRMInvkConfig,-0.000237249522405,2
SiPfxLog,-0.0003319505825651,2
ParamTypCtnStr[],-0.0005529810888646,2
IsConcreteCls,-0.0010681838584995,2
GeneralRtnNR,-0.0012486472447486,2
SoPfxGet,-0.0016028636989173,2
GeneralParamNR,-0.0016249844715263,2
SiPfxUpdate,-0.0016949861833416,2
DbRtnNR,-0.002107491289248,2
PrimitiveParam,-0.0021536991170195,2
SiSRMInvkWrite,-0.0041393039108988,2
ParamDfThis,-0.0044630659639386,2
ClsNmCtnLog,-0.0055258604245952,2
SiSRMInvkWarn,-0.005699195774289,2
SiPfxTyp,-0.0071144467688357,2
SRMDfRet,-0.0185425235579418,2
IsAbstractCls,-0.0196953279356415,2
IsInterface,0.0458266257699777,3
SoPfxTyp,0.0227389416209022,3
ClsNmCtnWeb,0.0213515304894011,3
ClsNmCtnLog,0.0115138611547529,3
SiPfxTyp,0.0078799447269592,3
ClsNmCtnFile,0.0064428219282874,3
WebParamNR,0.0057510912848413,3
MtdNm,0.0053766196082031,3
GeneralParamNR,0.0040758432540032,3
IsAbstractCls,0.0038981527990509,3
SiPfxWrite,0.0032702028385747,3
FileRtnNR,0.0028090978124602,3
FileParamNR,0.0025553492121405,3
ClsNmCtnGui,0.0022874316338004,3
SiSRMInvkFormat,0.001957831787692,3
ClsNmCtnGeneral,0.0015029579376203,3
SiPfxSend,0.0009935472716948,3
MixedPfxCopy,0.0006663755761085,3
SiPfxUpdate,0.0006368633107416,3
IsConcreteCls,0.0002311341827991,3
SoPfxParse,0.0001802350743627,3
SiSRMInvkSave,2.469438466992657e-05,3
SiSRMInvkWrite,2.0663897672884568e-05,3
SiSRMInvkFatal,3.308371542196792e-06,3
SoPfxGet,9.606138339085524e-07,3
SiSRMInvkUpdate,0.0,3
SiSRMInvkAdd,0.0,3
SoPfxRemove,0.0,3
MixedPfxMove,0.0,3
SoPfxFind,0.0,3
SiPfxExec,0.0,3
SiPfxRun,0.0,3
SiPfxSave,0.0,3
SoSRMInvkParse,0.0,3
SoSRMInvkFind,0.0,3
SoSRMInvkRemove,0.0,3
SoSRMInvkElement,0.0,3
SoSRMInvkPeek,0.0,3
SoSRMInvkList,0.0,3
SiPfxEval,0.0,3
SiPfxPrint,0.0,3
SRMDfParam,0.0,3
tag,0.0,3
WebRtnNR,0.0,3
DbParamNR,0.0,3
LogParamNR,0.0,3
LogRtnNR,0.0,3
LogNR,0.0,3
DbNR,0.0,3
SiSRMInvkConfig,0.0,3
FileNR,0.0,3
SoSRMInvkAs,0.0,3
SoSRMInvkRetrieve,0.0,3
MixedSRMInvkMove,0.0,3
MixedSRMInvkDo,0.0,3
SoSRMInvkPull,0.0,3
SiSRMInvkRun,0.0,3
WebNR,0.0,3
SiSRMInvkFine,0.0,3
SiSRMInvkWarn,0.0,3
SiSRMInvkSevere,0.0,3
GeneralNR,0.0,3
SiSRMInvkDebug,0.0,3
SiSRMInvkPrint,0.0,3
SiSRMInvkExec,0.0,3
SiSRMInvkTrace,0.0,3
SiSRMInvkOffer,0.0,3
SiSRMInvkError,0.0,3
SiSRMInvkInfo,0.0,3
SiSRMInvkPush,0.0,3
SiSRMInvkEval,0.0,3
SiSRMInvkInsert,0.0,3
SiSRMInvkSend,0.0,3
GuiRtnNR,0.0,3
ParamDfSRM,0.0,3
XmlNR,0.0,3
XmlParamNR,0.0,3
XmlRtnNR,0.0,3
GuiNR,0.0,3
SiSRMInvkLog,-1.030460188899962e-06,3
SiPfxLog,-0.0009406314163104,3
SiPfxAdd,-0.0013298590883678,3
SRMDfThis,-0.0014283685512868,3
ParamTypCtnByte[],-0.0014459677047842,3
ClsNmCtnDb,-0.0015000026589398,3
DbRtnNR,-0.0026495722127561,3
GeneralRtnNR,-0.0028209465287231,3
PrimitiveParam,-0.003365093177859,3
ClsNmCtnXml,-0.0043686616213252,3
MixedPfxDo,-0.0044754113403701,3
SoSRMInvkGet,-0.0048906690568114,3
ParamDfThis,-0.0076421335329158,3
MixedPfxTyp,-0.008043678209713,3
SRMDfRet,-0.0086898999550666,3
SiPfxSet,-0.0093333621244124,3
SoPfxRead,-0.0096255511010193,3
GuiParamNR,-0.0107857646060963,3
ConcreteMtd,-0.011384617749777,3
MixedSRMInvkCopy,-0.021470856412024,3
SiSRMInvkSet,-0.0418813893257359,3
ParamTypCtnStr[],-0.0432722367717181,3
SoSRMInvkRead,-0.0470699243949969,3
SoSRMInvkPoll,-0.0525890027784776,3
ParamTypCtnChar[],-0.0561200372019206,3
ParamTypCtnStr,-0.1477173245737355,3
ClsNmCtnWeb,0.0490064779717471,4
SiSRMInvkSevere,0.0223435942309294,4
SRMDfRet,0.0170882747166292,4
SiPfxTyp,0.0161499029567519,4
MtdNm,0.013288583623194,4
WebParamNR,0.0089183439252529,4
ClsNmCtnLog,0.0081034658346341,4
FileParamNR,0.007691694104015,4
ClsNmCtnFile,0.0037957416884814,4
SoSRMInvkPeek,0.0034190359643786,4
SiPfxWrite,0.0027321176601083,4
SoSRMInvkRetrieve,0.00225118013624,4
SiPfxSend,0.0012492183308067,4
FileRtnNR,0.0012481974964674,4
ClsNmCtnGui,0.0012472969469549,4
IsConcreteCls,0.001180637522755,4
MixedPfxCopy,0.0009163008712075,4
SiSRMInvkSet,0.00045241287621,4
GeneralParamNR,0.000366083594437,4
IsInterface,4.053916407002756e-05,4
MixedSRMInvkDo,0.0,4
MixedSRMInvkCopy,0.0,4
MixedSRMInvkMove,0.0,4
SiPfxEval,0.0,4
SiPfxPrint,0.0,4
SiSRMInvkRun,0.0,4
SiSRMInvkUpdate,0.0,4
