row,dataset_row,base_value,prediction,ClsNmCtnWeb,MtdNmCtnSend,MtdNmCtnExecut,MtdModFINAL,ClsNmCtnInput,ClsNmEndsReq,ClsNmCtnRedirect,ParamDfSiMtdRun,ParamTypCtnSql,ParamDfSiMtdDump,ParamDfSiMtdStream,MtdWritInvkd,MtdSetInvkd,MtdNmCtnHandl,ParamDfSiMtdLog,MtdModPRIVATE,ClsNmCtnManager,RtnTypResultSet,MtdExecutInvkd,ClsFINAL,ParamDfSiMtdPrint,MtdUpdatInvkd,ClsWebInvkd,MtdNmCtnLog,ParamTypCtnDb,ParamDfSiMtdExecut,MtdRunInvkd,ParamTypCtnStr,ParamDfSiMtdUpdat,MtdReplacInvkd,MtdNmCtnPars,ClsNmCtnSecurity,MtdModSTATIC,ClsSqlInvkd,ClsLogInvkd,MtdParsInvkd,ParamTypCtnWeb,ParamDfSiMtdHandl,MtdModPUBLIC,ParamTypCtn.io.,ClsNmEndsRender,MtdNmCtnWrit,InnerCls,MtdLogInvkd,MtdNmCtnPrint,MtdPutInvkd,ClsDbInvkd,ParamTypCtnStringbuilder,ParamDfSiMtdWrit,ClsNmCtnResponse,ClsNmCtnJdbc,MtdNmStrtSet,ClsSTATIC,MtdNmCtnUpdat,MtdNmCtnRedirect,ParamDfSiMtdSet,MtdNmCtnStream,ParamDfSiMtdPut,Implicit method,Cls.io.Invkd,Cls.net.Invkd,ClsNmCtn.io.,MtdHandlInvkd,ClsNmCtnHtml,MtdNmStrtOn,ClsAnonymous,ParamTypCtnChar[],MtdNmCtnReplac,MtdPrintInvkd,ClsNmCtnNet,MtdConstructor,ParamDfSiMtdSend,MtdSendInvkd,MtdNmCtnRun,ParamTypCtnCharsequence,ParamTypCtnByte[],MtdLoneGetterOrSetter,ParamDfSiMtdPars,MtdCtnParams,MtdNmCtnDump,MtdDumpInvkd,ClsNmCtnSql,ClsPUBLIC,MtdNmCtnSetheader
0,8109,0.2665802965555566,0.009217919853400147,0.0006537468687511489,0.0,-0.0015299895199080752,0.002764894337561678,0.0009025145863891962,0.00030768216824681013,0.0,-0.00045195813310004273,0.0,0.0,0.0,-0.007263096136385974,-0.008608603054671057,-0.0008659056926054338,-0.0013756656820168738,-0.001520900126153474,0.0006379251459130595,0.0,-0.0011555222511674403,0.002647595265998165,-0.001243196387034335,-0.0014816438344172303,0.0004885929264150259,0.0,0.0,-0.0004989056914666593,-0.0006450658575470159,-0.018641782500479098,-0.0005630461328991385,0.0007824525025300489,-0.0008680477521515605,-0.0008211335264421125,0.007156655044426067,0.00044204177200372994,0.0,0.0,0.0,0.0,0.002550389971058887,-0.0004115953163252308,0.0,-0.005371741713118192,0.0006590940668668518,0.0022843407673914925,-0.001720217561617477,-0.006390259344337737,0.0006967984066010493,0.0,-0.001869086083678157,0.0002772932077534866,0.0006061458805615679,0.0,0.0,-0.00029051636379683933,0.0,-0.00999284459162004,0.00022323116779900752,-0.003133402043757144,-0.000612973290138199,0.0024128950249436305,0.0,-0.008498289092848511,0.0004145426720483674,0.0,0.0,0.000503988601030924,0.0,-0.0019255951902092236,-0.0011649889181442376,-0.002164177740655529,0.0,0.0,0.0,-0.0016704034054673923,0.0,0.0,-0.012716964984689813,-0.000862373906783519,-0.17973353175254103,0.0,0.0,-0.002221916915455664,0.0035101434071828086,0.0
1,5710,0.2665802965555566,0.004143315722017593,0.0018933651082860162,0.0,-0.0011051462504018694,0.002653779787904709,0.0,0.0,0.0,0.0,-0.0014776972742380683,0.0,0.0,-0.005306200250131632,-0.008469201025109683,0.0,-0.001468944577443468,-0.001052035011615681,-0.00023639657543446502,-0.0009560798086891475,-0.0010169032851514305,0.0,-0.0008776382454706609,-0.0010692705158077238,-0.00014906520980762357,0.0,0.0,-0.0012994676143631174,0.0,-0.006680560960305879,0.0,0.0006282143345884117,0.0,-0.0003698544567837361,0.00687612850940781,0.0014764155796757872,0.0,0.0,0.0,0.0,0.0042961839212161314,0.0,0.0,-0.005289394248167383,0.0011932498647434858,0.0027353098221858754,-0.00036557922084026013,-0.004694543848009327,0.0,0.0,-0.0007447441599007533,-0.0008366474130636557,0.0,0.0,0.0,-0.0002716535421073096,-0.0002571410861030015,-0.01003504752147258,-0.0011314660798049732,-0.002990854628107651,-0.0002981020523641615,0.0016678844859104563,0.008469949514187121,-0.006997560919496982,0.001051812067625849,0.0,0.0,0.0007974561933577815,0.0,-0.0029530695357925995,-0.0018125076969060247,-0.0004387885025048385,0.0,0.0,-0.000691606664923141,-0.0021883492532513986,0.0006781023831184801,0.0,-0.011721424171034002,-0.0006132652617595618,-0.2114716170083424,0.0,0.0,-0.0032250629836529567,0.003708054452612186,0.0
2,3146,0.2665802965555566,0.004396761969469087,0.0014285953600483693,-0.0017222685276504942,-0.002189230843733362,0.0019137217551191304,-0.00020913130204432682,-0.0007645298704280629,0.0,-0.0005526811610359567,0.0,0.0,0.0,-0.00718716911476459,-0.006914795960825535,-0.0014004718899030516,-0.0003180606832793266,-0.0007754514977244729,0.0010214570060388146,0.001018256594688472,-0.0005119415704795458,-0.015913511414098764,0.00041779436098087234,-0.0004568525927714226,0.0012907921119897935,0.0,0.0,-0.001025372293173076,-0.0010314025659155877,-0.01739698273018923,-0.0003653442718082253,0.0,-0.0020304567033122205,-0.0011983978963829639,0.006888178605769111,0.0012449761093955253,0.0,-0.00046490616785307574,0.0,-0.0007280202053339892,0.003531107420197739,-0.0026212782276243416,0.0,-0.007665234307358731,0.0007904548431971171,0.0014901286021985157,-0.001942560596524735,-0.007156781201327312,-0.0002689974084021232,0.0,-0.002424710995637149,0.0008919620709601782,-0.00019014558605654866,0.0,0.0,-0.0008425992846223653,-0.0007891254845394059,-0.015371187948804965,-0.001900905880969344,-0.0023636439649240776,0.0006303157025531295,0.002340619674070268,-0.0018915905833282198,-0.004875685492010846,0.0,0.0004882012757370408,0.0,0.0007740043970905344,-0.0016883235493536004,-0.0019378890333483125,-0.0009149984510999535,-0.0021427233951943547,0.0,0.0,-0.00031767671947684315,-0.002279407875102647,-0.000451981488347523,0.0010973520812629662,-0.009637130205261024,-0.0009316322093509899,-0.15840300515513936,0.0,0.0,-0.0017710522586364538,0.0044957940077633984,0.0
3,8746,0.2665802965555566,0.009217919853400203,0.0009400128404476036,-0.0010113364376458267,-0.0015855281779069913,0.003512671794438774,0.0005039529124528924,-0.00024012186952253884,0.0,-0.0002819043337943626,-0.0002704924332667831,0.0,0.0,-0.004943970541170405,-0.008010766938781094,-0.0007045010046831571,-0.0020016073317447713,-0.00023876218174306594,0.0008382804241376074,-0.00017725850025592573,-0.0013730194652351085,0.002823093415317766,0.0,-0.0009960086661232545,-0.00022186495281880937,0.0,0.0,-0.0009281982564959936,-0.00048780224519633515,-0.0191403263282492,-0.00033822640105220356,-0.0003047369586853379,-0.0008483708242752788,-0.0006001631645949715,0.007059269020141404,0.00094216399391697,0.0,0.0,0.0,0.0008342868225947731,0.0035926460937766606,-0.0004965188386977406,0.0,-0.006002759968922828,0.00044735059787410624,0.002233932072325691,-0.0015536040775860945,-0.006148542316039904,0.0002062740782511109,0.0,-0.0011815692653537324,-0.0005478948700080193,0.0,0.0,0.0,-0.00046805327961539406,-0.0003135670932127141,-0.0094671179878397,-0.0005430650383882159,-0.002142344619200855,0.00030813317227463985,0.0018815752799091776,-0.0014344087999343523,-0.008927029209009901,0.00044158788103932495,0.00017834999052988824,0.0,0.0011484429900852928,-0.00029075857543554086,-0.00187065969126658,-0.0018063185533411057,-0.0026494771247299056,0.0,0.0,0.00020874264218570163,-0.002570917545946131,0.0,-0.0001881743629423293,-0.012710135086782608,-0.00147442022597038,-0.17935226458667314,0.0,0.0,-0.0026811785574687567,0.004062603963751521,0.0
4,7367,0.2665802965555566,0.9256799349241159,0.0,0.0,0.0,0.010282007321535253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003154042205409678,-0.006911257768186072,0.003755865806110046,0.0,0.0,0.0,0.0,0.0,0.004380958954773242,0.0,0.0,0.0,0.0,0.0,0.0,-0.003773793027805385,0.00935140232859836,0.0,0.0,0.0,0.0057247877040421105,0.0038445084554884095,0.0,0.0,0.0,0.0,0.0,0.006004504834105874,0.0,0.0,0.21115015354478964,-0.010557051011993872,0.0,0.0,-0.008402681800166662,0.0,0.0,0.21460144184603794,0.0,0.0,0.0,0.0,0.0,0.0,-0.009065684701655214,0.03735711691124131,0.0,-0.019545786997577853,0.0,0.0,-0.0029358459751808144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01128634145158324,0.0,0.24349214973698258,0.0,0.0,-0.0049594517061249364,-0.010253322429461753,0.0
5,7203,0.2665802965555566,0.9253352020914116,0.0,0.0,0.0,0.005200408971102219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033992850806158826,-0.007906841257379558,-0.001975902451264595,0.0,0.0,0.0,0.0,0.0,0.035880831953866425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010706284043528295,0.0,0.0,0.0,-0.005472035494208001,0.009986692552225085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005449594434833227,0.0,0.0,0.0,-0.006493024889650598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005647490755655251,0.0,0.0,0.0,0.0,0.0,-0.003949459904856063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006143950898074368,0.0,0.0,0.0,0.0,0.0,0.0,0.41395594109979533,0.0,0.2508749001689318,0.0,0.0,0.0,0.0,0.0
6,364,0.2665802965555566,0.002802149585122815,0.0,0.0,-0.00047371012427855296,0.0021970301159604543,0.0,0.0,0.0,-0.001216039560262387,0.0,0.0,0.0,-0.0044774985463988766,-0.006002084211730653,-0.00036504081500090207,-0.0006670424035557094,0.0,0.0,-0.000896703070492655,-0.00034756664815228943,0.0032496088029732163,0.0,0.0,-0.0004806444504205743,0.0,0.0,-0.0013348884163395395,-0.0012237662402505443,-0.009238687573362294,0.0,0.0,-0.0007172503000624054,0.006595915537506933,0.007996870325144952,0.0,0.0,-0.0007462448395068869,0.0,0.0,0.005767546001698529,0.0,0.0,-0.005213776917582994,0.0,0.0025763881845696046,-0.00029903748743242053,-0.006005153712655061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011393846204960548,0.0,-0.0024066267304557426,0.0,-0.0011754230465329057,-0.0005015900080193279,-0.0044606811583271,-9.898899701100821e-05,0.0,0.0,0.0,-0.0007094750169564534,-0.0008645602519825369,-0.0007913789983238408,-0.0012570402696944968,0.0,0.0,-0.0007780417483776544,-0.000986902954699489,-0.0008306784079845649,0.0,-0.012349236375148624,0.0,-0.21646466061860062,0.0,0.0,-0.0024271390886802836,0.005039899254952462,0.0
7,4992,0.2665802965555566,0.060914747603828506,0.0,-0.00046148165655411784,-0.0029628153174614973,-0.14582954183676042,0.0,0.0,0.0,-0.0011474715313920544,0.0,0.0,0.0,-0.007921211682966616,-0.017520965350275093,-0.0015629579779179337,-0.001638122937751876,0.0,0.0,0.0,-0.0007998794520893086,-0.007762461270455815,-0.000381765736473437,-0.0008069392100766613,0.0,0.0,0.0,-0.0011077310095849945,-0.0015395691376490657,-0.011399850921408257,0.0,0.0,0.0,-0.008968199804755942,0.009763001298298473,0.0,0.0,0.0,0.0,0.0,-0.014660475189334743,0.0,0.0,-0.00945453751043307,0.0,0.0,-0.0011179781789639467,-0.00848834120544567,0.0,0.0,-0.0015099715435765344,0.0,0.0,0.0,0.0,0.0,-0.0007674654285821524,-0.00861977772363866,-5.810168367421611e-05,-0.005582195918492074,0.0,0.0,-0.003210126622188678,-0.006146513342503102,0.0,0.0,0.0,0.0,0.0,-0.0032023435174280517,-0.003101009663752792,-0.00372439922166478,0.0,0.0,0.0,-0.0037697247577990617,0.0,-0.004869021474187647,-0.024489437294369976,-0.0014178734545784663,0.09496552291091112,0.0,0.0,-0.002750293782136918,0.008356479185385929,0.0
8,5598,0.2665802965555566,0.4500894327375131,0.0,0.0,0.0,0.005923764417809299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002871998054492282,0.0,-0.0019285880064863893,0.0,0.0,-0.003877281315431065,0.0,0.0,-0.005925153495622668,-0.0014630474708311535,-0.002022933233890703,0.0,0.0,0.0,0.0,0.0,-0.02203178043272622,0.0,0.0,-0.004334579978628348,0.0,0.006541286174528579,-0.06554297808277783,0.0,0.0,0.0,0.0017268095568103825,0.007537168577969148,0.0,0.0,-0.00639851861063176,0.0,0.0,-0.0011501830962407228,0.13645468656126417,-0.03984700893220953,0.0,0.0,0.0,-0.0755327279995379,0.0,0.0,0.0,0.0,-0.007896790380186647,0.0,0.1056906257588327,0.0,0.0,0.0,-0.0039245163671094195,0.0026695988644857495,0.0,0.0,0.0,-0.0035357461727327797,-0.0013001183020500363,-0.0027712029077654257,0.004117332133291877,0.0,0.0,-0.003139490148287318,0.0,0.0,0.0,-0.016605734782507615,-0.0008967337725155031,0.16666577724759446,0.0,0.0,0.01917919843203153,0.0,0.0
9,5815,0.2665802965555566,0.023547378600920876,0.0,0.0,0.0,-0.01831115685469329,0.002379995296637235,-0.00023241686900053258,0.0,-0.00031678325379398524,-0.0027556145555752624,0.0,0.0,-0.004092440101571469,0.04794698221455961,-0.000594236970752411,0.002365296910929742,0.004614556866835118,0.0,0.0,-0.000688818656455211,-0.022049812545022793,-0.0012877371057746624,-0.001017909545344447,0.0,0.0,0.0,-0.0029381075808355794,0.0,-0.015756836830730297,0.0,-0.0006843538040233239,-0.002720570793755942,0.0,0.006289641393784913,0.0,0.0,-0.0012498487179271,0.0,0.0,-0.02258683527989377,-0.0018023421073263184,0.0,-0.009654315923079552,0.0,0.0,-0.0008545484681089183,-0.002365019861049512,-0.0007689751472592258,0.0,0.0,0.0,-0.0011388696404208806,0.0,0.0,0.0,0.0,-0.010341121646670285,0.0,-0.0006297674030306806,0.0,0.0,-0.001376643311982583,-0.00347795466733615,0.0,0.0031585311301241094,0.0,0.001803878972317872,0.0,-0.0011481583481502125,-0.0013326575561015594,-0.0031974055434513173,0.0,0.0,0.0,-0.0024861979326093633,0.0,0.0,-0.01415758749108228,-0.0005240021600869147,-0.16257395360346666,0.0,0.0,0.0,0.0035211995365381776,0.0
