Feature,SHAP Value,Source
SiSRMInvkLog,0.0,2
SiSRMInvkTrace,0.0,2
SiSRMInvkFatal,0.0,2
SiSRMInvkError,0.0,2
SiSRMInvkInfo,0.0,2
SiSRMInvkSevere,0.0,2
SiSRMInvkWarn,0.0,2
SiSRMInvkInsert,0.0,2
SiSRMInvkOffer,0.0,2
GuiNR,0.0,2
LogNR,0.0,2
WebNR,0.0,2
XmlNR,0.0,2
SiPfxLog,-1.1530028831072126e-06,2
LogParamNR,-8.306569660776475e-06,2
IsAbstractCls,-0.0002411652514003,2
IsInterface,-0.0004476170558425,2
IsConcreteCls,-0.0005224845698665,2
WebParamNR,-0.001247477244017,2
SiPfxSend,-0.0012504393602505,2
ParamTypCtnStr[],-0.001527593914628,2
SiPfxSet,-0.0017242920679981,2
SiSRMInvkConfig,-0.0017752090242092,2
SiSRMInvkSet,-0.0021394709894852,2
SiSRMInvkSend,-0.0021398557675836,2
SiPfxWrite,-0.0023609580915026,2
SiSRMInvkUpdate,-0.0024323158960865,2
SoSRMInvkRead,-0.002485759935218,2
FileRtnNR,-0.002494954488034,2
ClsNmCtnGui,-0.0025508402183721,2
SiPfxPrint,-0.007497721599433,2
PrimitiveParam,-0.0079048231606139,2
XmlParamNR,-0.0103174922635429,2
ParamTypCtnByte[],-0.0112588166413021,2
MtdNm,-0.0208539340919075,2
ClsNmCtnFile,-0.0237822589020212,2
ClsNmCtnWeb,-0.0315522580684949,2
GeneralParamNR,-0.0371666789575384,2
SoPfxTyp,-0.0420277905010429,2
ParamDfThis,-0.0598203903529796,2
SiPfxTyp,-0.0696787570159326,2
GeneralParamNR,0.036514239763451,3
ParamDfThis,0.0263926581266797,3
WebParamNR,0.0218797958350605,3
SiSRMInvkWrite,0.0173231376555329,3
SRMDfThis,0.013192824376438,3
ParamTypCtnStr,0.0083019327230817,3
SRMDfRet,0.0055108833015833,3
SiSRMInvkPush,0.0044837480342733,3
SiSRMInvkFatal,0.0034286369453463,3
ClsNmCtnLog,0.0025219968468633,3
GuiParamNR,0.0023489150947053,3
ParamTypCtnChar[],0.001866034067577,3
DbRtnNR,0.0015357153543183,3
MixedPfxCopy,0.0014267891697997,3
MixedPfxTyp,0.0011676903912045,3
SiPfxWrite,0.0007233939970755,3
SiPfxSet,0.0007030610846794,3
ClsNmCtnXml,0.0006898101551221,3
PrimitiveParam,0.0006696152576895,3
ClsNmCtnGeneral,0.0006250708566633,3
SiSRMInvkOffer,0.0004818224743029,3
FileParamNR,0.000396508740432,3
SiSRMInvkDebug,0.0003406131504907,3
SiPfxSend,0.0003187667158019,3
SoSRMInvkRemove,0.0003042266443172,3
SiPfxUpdate,0.0002734221911562,3
ParamTypCtnByte[],0.0002604792688226,3
SoPfxGet,0.0002414734363076,3
GeneralRtnNR,0.0001785143386008,3
SiPfxAdd,0.0001236196222144,3
ClsNmCtnDb,7.309906126865516e-05,3
SoSRMInvkPull,1.839827967978908e-07,3
MixedSRMInvkCopy,0.0,3
SiPfxExec,0.0,3
SiPfxEval,0.0,3
SiSRMInvkUpdate,0.0,3
MixedSRMInvkMove,0.0,3
SoPfxFind,0.0,3
SoPfxRemove,0.0,3
MixedPfxDo,0.0,3
MixedPfxMove,0.0,3
ParamDfSRM,0.0,3
ParamTypCtnStr[],0.0,3
GuiNR,0.0,3
XmlNR,0.0,3
XmlRtnNR,0.0,3
SRMDfParam,0.0,3
LogRtnNR,0.0,3
WebRtnNR,0.0,3
SiSRMInvkConfig,0.0,3
SoSRMInvkPeek,0.0,3
SoSRMInvkAs,0.0,3
SoSRMInvkRetrieve,0.0,3
SiSRMInvkAdd,0.0,3
SoSRMInvkElement,0.0,3
SiSRMInvkRun,0.0,3
SiSRMInvkSave,0.0,3
SiPfxSave,0.0,3
SiPfxRun,0.0,3
SoSRMInvkPoll,0.0,3
SoSRMInvkList,0.0,3
SoSRMInvkParse,0.0,3
SoSRMInvkFind,0.0,3
DbNR,0.0,3
LogNR,0.0,3
SiSRMInvkWarn,0.0,3
SiSRMInvkSevere,0.0,3
SiSRMInvkError,0.0,3
SiSRMInvkPrint,0.0,3
SiSRMInvkInsert,0.0,3
SiSRMInvkFormat,0.0,3
SiSRMInvkEval,0.0,3
SiSRMInvkLog,0.0,3
ConcreteMtd,0.0,3
tag,0.0,3
GeneralNR,0.0,3
