Feature,SHAP Value
ParamTypEqRtnTyp,0.01863711625665326
ParamTypCtnStr,0.01381225599643597
RtnTypStr,0.0079212473027904
MtdCtnParams,0.004254504532394895
ClsNmCtnJdbc,0.0003106387125144653
ClsNmCtnInput,0.00027777777777777984
MtdConstructor,0.0
CWE89,0.0
InnerCls,0.0
MtdMakedbInvkd,0.0
ClsAnonymous,0.0
ClsNmEndsEncoder,0.0
ImplicitMtd,0.0
ParamTypCtnSql,-0.00033931731930155514
RtnTypResultSet,-0.0003571428571428562
MtdNmCtnSaniti,-0.0034444444444444457
ClsNmCtnSql,-0.0038130669298168996
MtdNmCtnQuery,-0.0054255284226319145
ClsNmEndsReq,-0.006481923623236638
MtdNmCtnExecute,-0.0074473116892439795
ClsNmCtnHibernate,-0.008743074211978867
ClsNmCtnDatabase,-0.009356212072457085
ClsNmCtnDb,-0.027160000814057082
