Feature,SHAP Value
ClsNmCtnDatabase,0.6040289512478678
ParamTypCtnStr,0.2647843626293477
ClsNmCtnDb,0.055698350880878836
ParamTypEqRtnTyp,0.03894906371290314
ClsNmCtnJdbc,0.01849126248963184
MtdCtnParams,0.004917117256854875
MtdNmCtnExecute,0.0023799311872555093
InnerCls,0.0
CWE89,0.0
MtdMakedbInvkd,0.0
ClsAnonymous,0.0
ClsNmEndsEncoder,0.0
ImplicitMtd,0.0
MtdConstructor,0.0
ClsNmCtnInput,-0.0003505443747937987
RtnTypResultSet,-0.001084268114439823
MtdNmCtnSaniti,-0.0022308735657465433
ParamTypCtnSql,-0.0023095238095238104
ClsNmEndsReq,-0.002944310903730236
MtdNmCtnQuery,-0.004533349825646245
ClsNmCtnHibernate,-0.00922302870339822
RtnTypStr,-0.009971616104253919
ClsNmCtnSql,-0.03951156136450728
