Feature,SHAP Value,Source
ClsNmCtnSaniti,0.0,3
MtdEncodInvkd,0.0,3
ClasEncodInvkd,0.0,3
ClsNmCtnValid,0.0,3
ParamTypCtnChar[],0.0,3
RtnTypByte[],0.0,3
MtdRegexInvkd,0.0,3
MtdSanitiInvkd,0.0,3
MtdCtnParams,0.0,3
ClsNmCtnPage,0.0,3
MtdModFINAL,0.0,3
MtdNmStrtGet,0.0,3
ClasEscapInvkd,0.0,3
ClsNmCtnEscap,0.0,3
ParamTypCtnByte[],0.0,3
ParamTypCtnStringbuilder,0.0,3
MtdNmStrtPut,0.0,3
MtdMatchInvkd,0.0,3
sanitizer,0.0,3
MtdModSTATIC,-0.0028571428571428,3
ParamTypEqRtnTyp,0.0085714285714285,4
RtnTypStr,0.0057142857142857,4
MtdModSTATIC,0.0035714285714285,4
MtdNmCtnReplac,0.0035714285714285,4
ClsFINAL,0.0028571428571428,4
MtdReplacInvkd,0.0028571428571428,4
MtdNmCtnEncodNotEncoding,0.0021428571428571,4
MtdNmCtnSaniti,0.0007142857142857,4
MtdNmStrtHas,0.0,4
MtdNmCtnVerif,0.0,4
ClsSTATIC,0.0,4
MtdModPUBLIC,0.0,4
MtdNmCtnUnescape,0.0,4
ParamTypCtnCharsequence,0.0,4
MtdEscapInvkd,0.0,4
MtdNmCtnStrip,0.0,4
ClasRegexInvkd,0.0,4
MtdNmCtnEscapeNotUnescape,0.0,4
ClsPUBLIC,0.0,4
ClsNmCtnEncod,0.0,4
ParamDfRtn,0.0,4
ParamTypCtnStr,0.0,4
ClasSanitiInvkd,0.0,4
MtdStripInvkd,0.0,4
MtdNmCtnRegex,0.0,4
ImplicitMtd,0.0,4
MtdConstructor,0.0,4
MtdNmStrtSet,0.0,4
RtnTypCharsequence,0.0,4
ClsNmCtnSaniti,0.0,4
MtdEncodInvkd,0.0,4
ClasEncodInvkd,0.0,4
ClsNmCtnValid,0.0,4
ClsNmEndsEncoder,0.0,4
RtnTypByte[],0.0,4
MtdRegexInvkd,0.0,4
MtdSanitiInvkd,0.0,4
MtdCtnParams,0.0,4
ClsNmCtnPage,0.0,4
MtdModFINAL,0.0,4
MtdNmStrtGet,0.0,4
ParamTypCtnChar[],0.0,4
ClsNmCtnEscap,0.0,4
ParamTypCtnByte[],0.0,4
