Feature,SHAP Value
ParamTypCtnStr,0.06930229944542471
PrimitiveParam,0.013032066446806816
WebParamNR,0.010621198841782217
ClsNmCtnFile,0.006028894250378454
IsInterface,0.0050205546890292885
ClsNmCtnLog,0.004724592475227355
SoSRMInvkRead,0.004695261790586866
DbRtnNR,0.0034630890753810095
SRMDfRet,0.0030401762086553
IsAbstractCls,0.0029661216044595817
SiPfxUpdate,0.002449367052677086
ParamTypCtnByte[],0.002436068378882085
ClsNmCtnXml,0.0024334443653287255
SoPfxGet,0.0021093372511896322
XmlParamNR,0.0017749360069919534
SiPfxSet,0.0011375412783069458
ParamTypCtnChar[],0.0010730297176032993
GuiParamNR,0.0009569529413334527
SRMDfThis,0.0009369648697979266
SiPfxLog,0.0008333320850622064
SiSRMInvkWrite,0.000558156948935129
FileParamNR,0.0003839452396883214
GeneralRtnNR,0.0002765031323836578
IsConcreteCls,0.0001461909264229705
SoSRMInvkPull,0.0
SiSRMInvkSave,0.0
SiSRMInvkUpdate,0.0
MixedSRMInvkDo,0.0
SiSRMInvkAdd,0.0
MixedPfxDo,0.0
SiPfxExec,0.0
SiPfxRun,0.0
SiPfxPrint,0.0
SoSRMInvkFind,0.0
SoSRMInvkRemove,0.0
SoSRMInvkParse,0.0
SiPfxEval,0.0
SoSRMInvkPoll,0.0
MixedPfxMove,0.0
SoPfxRemove,0.0
SoPfxFind,0.0
tag,0.0
ParamDfSRM,0.0
ParamTypCtnStr[],0.0
DbParamNR,0.0
LogParamNR,0.0
LogRtnNR,0.0
WebRtnNR,0.0
DbNR,0.0
SiSRMInvkDebug,0.0
LogNR,0.0
GeneralNR,0.0
SoSRMInvkElement,0.0
SoSRMInvkAs,0.0
MixedSRMInvkMove,0.0
MixedSRMInvkCopy,0.0
SiSRMInvkRun,0.0
SiPfxSave,0.0
SoSRMInvkList,0.0
WebNR,0.0
SiSRMInvkExec,0.0
SiSRMInvkEval,0.0
SiSRMInvkSend,0.0
SiSRMInvkLog,0.0
SiSRMInvkPrint,0.0
SiSRMInvkOffer,0.0
SiSRMInvkFatal,0.0
SiSRMInvkError,0.0
SiSRMInvkInfo,0.0
SiSRMInvkTrace,0.0
SiSRMInvkPush,0.0
SiSRMInvkInsert,0.0
SiSRMInvkFormat,0.0
XmlRtnNR,0.0
XmlNR,0.0
SRMDfParam,0.0
GuiRtnNR,0.0
ConcreteMtd,0.0
SiSRMInvkWarn,0.0
SiSRMInvkFine,0.0
GuiNR,0.0
SiSRMInvkConfig,0.0
FileNR,0.0
FileRtnNR,-7.202524503618912e-07
ClsNmCtnGui,-2.1616931489831792e-06
SiPfxAdd,-9.50694104889932e-05
SiSRMInvkSet,-0.0005367894957569366
SoPfxParse,-0.001032378821207068
SiPfxSend,-0.0014569204161262173
MixedPfxCopy,-0.0014990354070603673
SiSRMInvkSevere,-0.0016986723644278594
GeneralParamNR,-0.0023177410065286976
ClsNmCtnGeneral,-0.002826128677937881
SoSRMInvkRetrieve,-0.0030244627191480834
MixedPfxTyp,-0.0031910555407389284
SoSRMInvkPeek,-0.0036568736858807026
SiPfxWrite,-0.006316001089970321
ParamDfThis,-0.012348796001105796
ClsNmCtnDb,-0.013188194940174532
MtdNm,-0.017274168441321545
SiPfxTyp,-0.02254068713556809
SoPfxTyp,-0.023376017994316142
SoSRMInvkGet,-0.03744246159715579
SoPfxRead,-0.08178747155872776
ClsNmCtnWeb,-0.29459392190238753
