Feature,SHAP Value,instance
SiSRMInvkFormat,0.0,1
GuiNR,0.0,1
XmlNR,0.0,1
GuiRtnNR,0.0,1
XmlParamNR,0.0,1
SiPfxLog,-7.202524503618912e-07,1
FileRtnNR,-1.6808662842565658e-06,1
WebParamNR,-2.2732880155210133e-05,1
DbParamNR,-3.5233170740139874e-05,1
SiPfxAdd,-5.016319947964698e-05,1
SiPfxSend,-0.0001085507553335,1
SiPfxWrite,-0.0002776440996636,1
ParamTypCtnByte[],-0.0004124216006289,1
SoSRMInvkGet,-0.0007471008968731,1
MixedPfxTyp,-0.0008321320109534,1
SoPfxParse,-0.0008326733464526,1
SiSRMInvkWrite,-0.0018575836434507,1
ClsNmCtnDb,-0.003885074205582,1
SiPfxTyp,-0.0051830586987858,1
SiSRMInvkAdd,-0.0062513340930382,1
ParamTypCtnStr[],-0.0071872105681983,1
MtdNm,-0.0100891749899466,1
ClsNmCtnLog,-0.0117364741928668,1
SiSRMInvkFatal,-0.0126297572102674,1
SRMDfThis,-0.0186226324339655,1
SoSRMInvkRemove,-0.0243694295033475,1
ParamDfThis,-0.0246562666009594,1
SRMDfRet,-0.0263694929158771,1
FileParamNR,-0.0374037462159195,1
ParamTypCtnStr,-0.038428686902228,1
GeneralParamNR,-0.0582407252117593,1
SoPfxRead,-0.0799518658068418,1
ParamTypCtnChar[],-0.0934743437667259,1
SiPfxTyp,0.1098968724299265,2
SoPfxTyp,0.0384571863146293,2
ParamTypCtnChar[],0.0347297098734783,2
SRMDfThis,0.0237951309284099,2
ParamDfThis,0.0216487174526486,2
ParamTypCtnByte[],0.0212025714075197,2
WebParamNR,0.013113386558738,2
MtdNm,0.0088330714521943,2
ClsNmCtnWeb,0.0079617216618466,2
ClsNmCtnFile,0.0075117438833949,2
PrimitiveParam,0.0072869907415379,2
SiPfxSet,0.0057525287475162,2
SiPfxPrint,0.0047364536078713,2
SoPfxRead,0.0046915944358405,2
SiSRMInvkDebug,0.0039509984912193,2
SiPfxLog,0.0032444540535835,2
ClsNmCtnXml,0.0030173558799121,2
IsInterface,0.0024444195692682,2
SiPfxAdd,0.0021610164023659,2
SoPfxGet,0.0020803295074208,2
IsAbstractCls,0.0020516567078196,2
DbRtnNR,0.0020024977378107,2
ParamTypCtnStr[],0.0017823552127706,2
FileRtnNR,0.0016642630513897,2
SiSRMInvkSend,0.0016221500635379,2
SiPfxUpdate,0.0012486644905734,2
GuiParamNR,0.001247477244017,2
SiPfxWrite,0.0009589847081956,2
MixedPfxCopy,0.0001773089294332,2
ClsNmCtnGui,1.2077534873505824e-05,2
SoPfxParse,4.323386297938603e-06,2
SiSRMInvkFine,7.202524503480134e-07,2
SoPfxFind,0.0,2
SoSRMInvkParse,0.0,2
SoSRMInvkFind,0.0,2
SiPfxEval,0.0,2
SoPfxRemove,0.0,2
MixedPfxDo,0.0,2
MixedPfxMove,0.0,2
SiPfxSave,0.0,2
SiPfxRun,0.0,2
tag,0.0,2
IsConcreteCls,0.0,2
ConcreteMtd,0.0,2
ParamDfSRM,0.0,2
GuiRtnNR,0.0,2
LogParamNR,0.0,2
WebRtnNR,0.0,2
DbNR,0.0,2
SiSRMInvkConfig,0.0,2
MixedSRMInvkMove,0.0,2
SoSRMInvkPull,0.0,2
MixedSRMInvkDo,0.0,2
SiSRMInvkAdd,0.0,2
SiSRMInvkUpdate,0.0,2
SiSRMInvkRun,0.0,2
SiSRMInvkSave,0.0,2
SoSRMInvkPeek,0.0,2
SoSRMInvkPoll,0.0,2
SoSRMInvkRetrieve,0.0,2
SoSRMInvkAs,0.0,2
MixedSRMInvkCopy,0.0,2
SiSRMInvkEval,0.0,2
SiSRMInvkLog,0.0,2
SiSRMInvkExec,0.0,2
SiSRMInvkFormat,0.0,2
SiSRMInvkOffer,0.0,2
SiSRMInvkError,0.0,2
SiSRMInvkFatal,0.0,2
SiSRMInvkInfo,0.0,2
SiSRMInvkPush,0.0,2
SiSRMInvkInsert,0.0,2
SiSRMInvkPrint,0.0,2
SRMDfParam,0.0,2
GuiNR,0.0,2
XmlRtnNR,0.0,2
XmlNR,0.0,2
GeneralNR,0.0,2
SiSRMInvkTrace,0.0,2
SiSRMInvkWarn,0.0,2
WebNR,0.0,2
LogRtnNR,0.0,2
LogNR,0.0,2
FileNR,0.0,2
GeneralRtnNR,-1.2973530101184627e-06,2
SoSRMInvkGet,-1.6926666140990032e-05,2
SiSRMInvkSet,-0.0002858542702154,2
SoSRMInvkRemove,-0.000624444127988,2
MixedPfxTyp,-0.0006545826507282,2
SiPfxExec,-0.0010417544228319,2
XmlParamNR,-0.0011512290195489,2
SoSRMInvkRead,-0.0011643891609289,2
SiPfxSend,-0.0014630132763552,2
FileParamNR,-0.0038504910979825,2
ParamTypCtnStr,-0.0048587072371655,2
SoSRMInvkList,-0.006606870900868,2
ClsNmCtnLog,-0.0084714199718189,2
SoSRMInvkElement,-0.0101715947948005,2
ClsNmCtnGeneral,-0.0111654491862023,2
ClsNmCtnDb,-0.0150115313215031,2
SRMDfRet,-0.0268692697569805,2
DbParamNR,-0.0343017791957157,2
SiSRMInvkSevere,-0.0417253993946067,2
GeneralParamNR,-0.1183347445564046,2
SiSRMInvkWrite,-0.1556938725337485,2
PrimitiveParam,0.0232401080310243,3
FileParamNR,0.018342186117458,3
ParamTypCtnStr[],0.0120491955802046,3
ClsNmCtnWeb,0.0055689238185449,3
IsInterface,0.0045790103858653,3
SiPfxLog,0.0044459864402121,3
SoPfxRead,0.0041237123964309,3
WebParamNR,0.0037168396069636,3
SiSRMInvkSevere,0.003582420979305,3
SiSRMInvkSet,0.0024956747404844,3
ClsNmCtnFile,0.0024821791152737,3
ClsNmCtnXml,0.0019832855937329,3
SiSRMInvkSend,0.0019215625348594,3
SoPfxGet,0.0015371877099183,3
ClsNmCtnGeneral,0.0010471782866469,3
SiPfxAdd,0.0008333320850621,3
IsAbstractCls,0.0006672265056595,3
DbRtnNR,0.0005878394944254,3
IsConcreteCls,0.0004717379209922,3
FileRtnNR,0.0002222920268523,3
SoSRMInvkFind,0.0001590514097696,3
MixedPfxTyp,5.225952397871006e-05,3
SiSRMInvkAdd,3.5712615379990265e-05,3
SiSRMInvkTrace,2.2732880155210133e-05,3
SiPfxRun,0.0,3
SiSRMInvkSave,0.0,3
SiSRMInvkUpdate,0.0,3
SiSRMInvkRun,0.0,3
MixedPfxMove,0.0,3
SoPfxRemove,0.0,3
SiPfxEval,0.0,3
SiPfxPrint,0.0,3
SiPfxExec,0.0,3
SoSRMInvkParse,0.0,3
SoSRMInvkRemove,0.0,3
MixedSRMInvkDo,0.0,3
MixedSRMInvkCopy,0.0,3
SoSRMInvkPoll,0.0,3
SoSRMInvkList,0.0,3
SoPfxFind,0.0,3
MixedPfxDo,0.0,3
tag,0.0,3
SRMDfParam,0.0,3
GuiRtnNR,0.0,3
ParamDfSRM,0.0,3
LogParamNR,0.0,3
LogRtnNR,0.0,3
WebRtnNR,0.0,3
DbNR,0.0,3
SiSRMInvkDebug,0.0,3
LogNR,0.0,3
GeneralNR,0.0,3
XmlNR,0.0,3
GuiNR,0.0,3
MixedSRMInvkMove,0.0,3
SoSRMInvkAs,0.0,3
SoSRMInvkPull,0.0,3
SiPfxSave,0.0,3
WebNR,0.0,3
SiSRMInvkError,0.0,3
SiSRMInvkConfig,0.0,3
FileNR,0.0,3
SiSRMInvkFine,0.0,3
SiSRMInvkEval,0.0,3
SiSRMInvkExec,0.0,3
SiSRMInvkFormat,0.0,3
SiSRMInvkInsert,0.0,3
SiSRMInvkOffer,0.0,3
SiSRMInvkFatal,0.0,3
SiSRMInvkInfo,0.0,3
SiSRMInvkPush,0.0,3
SiSRMInvkLog,0.0,3
SiSRMInvkPrint,0.0,3
XmlParamNR,0.0,3
GuiParamNR,0.0,3
XmlRtnNR,0.0,3
ClsNmCtnGui,-1.0808465744915896e-06,3
SoSRMInvkRetrieve,-4.529290679813891e-05,3
SiPfxUpdate,-0.0003942787898792,3
ParamTypCtnByte[],-0.0004980422270699,3
SiPfxSend,-0.0006976707889706,3
SoSRMInvkElement,-0.0007187263610333,3
MtdNm,-0.0011585477066028,3
SiPfxWrite,-0.0012465155902575,3
DbParamNR,-0.0020425137625747,3
GeneralRtnNR,-0.0023211657858547,3
SoPfxParse,-0.00234053760039,3
ClsNmCtnLog,-0.0026327840794328,3
ParamTypCtnChar[],-0.002839797927018,3
SoPfxTyp,-0.0032489915591332,3
MixedPfxCopy,-0.0037433923458849,3
SiPfxSet,-0.0046069160671178,3
SoSRMInvkPeek,-0.0055152614299851,3
SoSRMInvkGet,-0.0058623257583837,3
ParamDfThis,-0.0069296134555226,3
GeneralParamNR,-0.0102397751160144,3
SRMDfThis,-0.0136109296894606,3
ClsNmCtnDb,-0.0185544587567915,3
SiSRMInvkWarn,-0.0187119070958806,3
SoSRMInvkRead,-0.0201171515854938,3
SiSRMInvkWrite,-0.0260284281456014,3
ConcreteMtd,-0.0290040737331794,3
SiPfxTyp,-0.0597443208945778,3
ParamTypCtnStr,-0.0602724741217984,3
SRMDfRet,-0.1039853666133441,3
SRMDfRet,0.0699174842316787,4
ParamDfThis,0.017553939904178,4
IsConcreteCls,0.0155290981675229,4
IsAbstractCls,0.0127616509530248,4
