Feature,SHAP Value
IsAbstractCls,0.027978764339185662
SoPfxTyp,0.014235647132053775
IsInterface,0.00835591264630621
ClsNmCtnWeb,0.004929337263268466
ClsNmCtnGeneral,0.003893378477280251
ClsNmCtnXml,0.0029131215676863192
ClsNmCtnFile,0.002731241952700768
SoPfxGet,0.0018994646818664262
SiSRMInvkSend,0.0016657045268076293
SiPfxSet,0.0013146423469593271
IsConcreteCls,0.0009814593011989274
SoSRMInvkRead,0.0008801933746400564
SiSRMInvkSet,0.0008326116937949629
DbRtnNR,0.00043873712248567245
PrimitiveParam,0.0004156458669938995
GeneralRtnNR,0.0004146815107546626
ClsNmCtnGui,0.00016314023821397024
SiPfxExec,8.655008654906426e-07
MixedSRMInvkCopy,0.0
MixedSRMInvkDo,0.0
MixedSRMInvkMove,0.0
SoSRMInvkPeek,0.0
SoSRMInvkPoll,0.0
SoSRMInvkList,0.0
SiPfxUpdate,0.0
SiSRMInvkRun,0.0
SiSRMInvkSave,0.0
SoSRMInvkElement,0.0
MixedPfxMove,0.0
SiPfxRun,0.0
SiPfxEval,0.0
SiPfxPrint,0.0
SiPfxSave,0.0
SoSRMInvkParse,0.0
SoSRMInvkFind,0.0
SoSRMInvkPull,0.0
SoSRMInvkAs,0.0
MixedPfxDo,0.0
SoPfxFind,0.0
SoPfxRemove,0.0
MixedPfxCopy,0.0
XmlRtnNR,0.0
tag,0.0
ConcreteMtd,0.0
SRMDfParam,0.0
ParamDfSRM,0.0
GuiParamNR,0.0
DbNR,0.0
WebNR,0.0
LogNR,0.0
LogParamNR,0.0
LogRtnNR,0.0
SoSRMInvkRetrieve,0.0
SiSRMInvkUpdate,0.0
SiSRMInvkEval,0.0
SiSRMInvkLog,0.0
SiSRMInvkExec,0.0
WebRtnNR,0.0
SiSRMInvkConfig,0.0
GeneralNR,0.0
SiSRMInvkDebug,0.0
FileNR,0.0
SiSRMInvkPush,0.0
SiSRMInvkInsert,0.0
SiSRMInvkPrint,0.0
SiSRMInvkOffer,0.0
SiSRMInvkError,0.0
SiSRMInvkInfo,0.0
SiSRMInvkTrace,0.0
SiSRMInvkSevere,0.0
SiSRMInvkWarn,0.0
SiSRMInvkFine,0.0
SiSRMInvkFormat,0.0
GuiNR,0.0
XmlNR,0.0
GuiRtnNR,0.0
XmlParamNR,0.0
SiPfxLog,-7.202524503618912e-07
FileRtnNR,-1.6808662842565658e-06
WebParamNR,-2.2732880155210133e-05
DbParamNR,-3.5233170740139874e-05
SiPfxAdd,-5.016319947964698e-05
SiPfxSend,-0.00010855075533355851
SiPfxWrite,-0.00027764409966361814
ParamTypCtnByte[],-0.00041242160062893163
SoSRMInvkGet,-0.000747100896873144
MixedPfxTyp,-0.0008321320109534597
SoPfxParse,-0.0008326733464526781
SiSRMInvkWrite,-0.0018575836434507878
ClsNmCtnDb,-0.003885074205582005
SiPfxTyp,-0.005183058698785801
SiSRMInvkAdd,-0.006251334093038255
ParamTypCtnStr[],-0.007187210568198399
MtdNm,-0.010089174989946603
ClsNmCtnLog,-0.011736474192866815
SiSRMInvkFatal,-0.012629757210267469
SRMDfThis,-0.018622632433965534
SoSRMInvkRemove,-0.024369429503347514
ParamDfThis,-0.024656266600959438
SRMDfRet,-0.026369492915877132
FileParamNR,-0.037403746215919506
ParamTypCtnStr,-0.03842868690222806
GeneralParamNR,-0.058240725211759395
SoPfxRead,-0.07995186580684185
ParamTypCtnChar[],-0.09347434376672595
