Feature,SHAP Value
SiPfxTyp,0.11891146832454973
SoSRMInvkGet,0.07755624626370311
ParamTypCtnStr,0.03319937913105042
MtdNm,0.0321805461228029
ParamTypCtnByte[],0.01806252672298954
ClsNmCtnFile,0.017729107182104947
SiPfxPrint,0.016287754256248607
ClsNmCtnWeb,0.014380701746827027
SoPfxTyp,0.012901463625130147
ParamDfThis,0.011966498109157946
SiPfxSet,0.010369775782403723
IsConcreteCls,0.005355445534017039
SiSRMInvkFormat,0.004007389650736021
SiPfxAdd,0.002960242783359643
SoSRMInvkRead,0.002422870422206333
IsAbstractCls,0.002020293579835311
SoPfxRead,0.0019338523574788033
IsInterface,0.001763626312126787
ClsNmCtnGeneral,0.0012845716145076305
ClsNmCtnXml,0.0012483777935294732
SiPfxLog,0.0009985004967704159
SiSRMInvkRun,0.0009559040294608578
DbRtnNR,0.0008118625111865202
SiSRMInvkSend,0.0007128734283463056
MixedPfxCopy,0.000581473392216203
SiSRMInvkUpdate,0.0005765083650434155
SiPfxWrite,0.000417109368534882
ParamTypCtnStr[],0.000382008758321669
LogParamNR,4.429637398233044e-05
ClsNmCtnGui,2.9041965631804167e-06
SoPfxFind,0.0
SoPfxGet,0.0
MixedPfxDo,0.0
MixedSRMInvkCopy,0.0
SoSRMInvkFind,0.0
SiPfxEval,0.0
SiPfxExec,0.0
SoSRMInvkRemove,0.0
SoSRMInvkParse,0.0
MixedPfxMove,0.0
SoPfxRemove,0.0
XmlNR,0.0
XmlRtnNR,0.0
ConcreteMtd,0.0
SRMDfParam,0.0
tag,0.0
GuiNR,0.0
MixedSRMInvkDo,0.0
MixedSRMInvkMove,0.0
SoSRMInvkRetrieve,0.0
SoSRMInvkPoll,0.0
SoSRMInvkPull,0.0
SoSRMInvkAs,0.0
SoSRMInvkPeek,0.0
SoSRMInvkList,0.0
SoSRMInvkElement,0.0
SiSRMInvkSave,0.0
SiPfxSave,0.0
SiPfxRun,0.0
SiSRMInvkFine,0.0
SiSRMInvkLog,0.0
SiSRMInvkPrint,0.0
SiSRMInvkEval,0.0
SiSRMInvkPush,0.0
SiSRMInvkExec,0.0
SiSRMInvkOffer,0.0
SiSRMInvkFatal,0.0
SiSRMInvkError,0.0
SiSRMInvkInfo,0.0
SiSRMInvkTrace,0.0
SiSRMInvkWarn,0.0
SiSRMInvkSevere,0.0
SiSRMInvkInsert,0.0
ParamDfSRM,0.0
LogNR,0.0
LogRtnNR,0.0
WebNR,0.0
GeneralNR,0.0
FileNR,0.0
DbNR,0.0
WebRtnNR,0.0
GeneralRtnNR,0.0
GuiRtnNR,0.0
SiSRMInvkDebug,0.0
WebParamNR,-7.202524503480134e-07
FileRtnNR,-1.4405049007237825e-06
SiPfxUpdate,-0.0001189719549715279
SiSRMInvkSet,-0.0002863952932088028
SoPfxParse,-0.0007451136406852327
FileParamNR,-0.0010125711608738805
MixedPfxTyp,-0.001187110429254866
SiSRMInvkConfig,-0.001934739688720502
XmlParamNR,-0.002580608943879962
ParamTypCtnChar[],-0.003882196911906735
SiPfxSend,-0.00498942825330103
PrimitiveParam,-0.005712097416148407
GuiParamNR,-0.01976773296236961
DbParamNR,-0.02026197084657405
ClsNmCtnLog,-0.021337597808651694
SiSRMInvkAdd,-0.02465227650042562
SRMDfThis,-0.05130877817077194
ClsNmCtnDb,-0.05756867458001852
SRMDfRet,-0.08648471295807142
GeneralParamNR,-0.09572452756520321
SiSRMInvkWrite,-0.09664380056985522
