Feature,SHAP Value
ClsNmCtnDb,0.012697690814974905
ClsNmCtnWeb,0.006330432626213375
SiSRMInvkWrite,0.005072636019560664
IsInterface,0.003709323698873737
SiPfxAdd,0.0036684513705933647
SoSRMInvkGet,0.0034458685267661957
ClsNmCtnGeneral,0.0033127363039705676
SoSRMInvkRead,0.0024963949929348167
SiPfxSet,0.002471470397239786
SiPfxTyp,0.0022641359426716808
ClsNmCtnXml,0.0015711642540089821
SoPfxGet,0.001248249052955084
SiPfxLog,0.0010550627676516738
SiSRMInvkUpdate,0.0009904546873957028
IsAbstractCls,0.0009162007750741228
GeneralRtnNR,0.0007685435914830817
MixedPfxTyp,0.0003331503187800483
FileRtnNR,0.00033098872972867066
SiPfxUpdate,0.000186454621755483
ClsNmCtnFile,0.00014699276829010718
FileParamNR,2.7369993815362648e-05
ConcreteMtd,2.153273663804689e-05
SoPfxParse,4.323386297910847e-06
GuiParamNR,2.4036138354846363e-07
MixedSRMInvkCopy,0.0
SiSRMInvkSet,0.0
SiSRMInvkAdd,0.0
SoSRMInvkList,0.0
SoSRMInvkElement,0.0
SoPfxFind,0.0
SoPfxRemove,0.0
MixedPfxDo,0.0
MixedPfxMove,0.0
SiPfxEval,0.0
SoSRMInvkFind,0.0
SiPfxRun,0.0
SiPfxPrint,0.0
SoSRMInvkRemove,0.0
SoSRMInvkParse,0.0
SiPfxExec,0.0
SiPfxSave,0.0
SRMDfParam,0.0
ParamDfSRM,0.0
tag,0.0
XmlNR,0.0
GuiRtnNR,0.0
MixedSRMInvkMove,0.0
SiSRMInvkRun,0.0
SiSRMInvkSave,0.0
SoSRMInvkRetrieve,0.0
SoSRMInvkPoll,0.0
SoSRMInvkPull,0.0
SoSRMInvkAs,0.0
SoSRMInvkPeek,0.0
MixedSRMInvkDo,0.0
SiSRMInvkInsert,0.0
SiSRMInvkSend,0.0
WebParamNR,0.0
WebRtnNR,0.0
SiSRMInvkFine,0.0
SiSRMInvkDebug,0.0
GeneralNR,0.0
SiSRMInvkLog,0.0
SiSRMInvkPush,0.0
SiSRMInvkEval,0.0
SiSRMInvkTrace,0.0
SiSRMInvkWarn,0.0
SiSRMInvkError,0.0
SiSRMInvkInfo,0.0
SiSRMInvkSevere,0.0
SiSRMInvkFormat,0.0
SiSRMInvkFatal,0.0
SiSRMInvkOffer,0.0
LogNR,0.0
LogParamNR,0.0
FileNR,0.0
XmlParamNR,0.0
XmlRtnNR,0.0
LogRtnNR,0.0
WebNR,0.0
DbNR,0.0
GuiNR,0.0
ClsNmCtnGui,-2.1616931489831792e-06
ParamTypCtnStr[],-0.00018841300584864114
DbRtnNR,-0.0008972859312053128
SiSRMInvkConfig,-0.0012593707205010556
ParamTypCtnChar[],-0.0014369530952524218
SiSRMInvkExec,-0.0017849285921228558
MixedPfxCopy,-0.002080329507420847
SiPfxSend,-0.00401686938135206
ClsNmCtnLog,-0.004702023963402592
SiPfxWrite,-0.004742371610505351
SoPfxTyp,-0.0073042764085390205
ParamTypCtnStr,-0.00931203854261653
SiSRMInvkPrint,-0.009915326043799029
IsConcreteCls,-0.017495318718063417
SRMDfThis,-0.01824830048352696
MtdNm,-0.02088420481087368
ParamTypCtnByte[],-0.025359619901916004
ParamDfThis,-0.03482910286037155
SRMDfRet,-0.03683207795519538
SoPfxRead,-0.0403176297852164
GeneralParamNR,-0.0445113026862399
DbParamNR,-0.048009789606806554
PrimitiveParam,-0.10869777158049665
