row,dataset_row,base_value,prediction,ClsNmCtnWeb,MtdModFINAL,ParamTypCtnSql,MtdNmCtnName,MtdNmCtnDecod,ClsNmCtnOutput,SoMtdRtnGet,SoMtdRtnRequest,MtdModPRIVATE,ClsNmCtnManager,MtdNmCtnUnescap,ClsFINAL,MtdCreatInvkd,SoMtdRtnLoad,ClsWebInvkd,ParamTypCtnDb,MtdCtnParams,ParamTypCtnStr,RtnTypConstant,MtdNmCtnCreat,MtdNmCtnPars,ClsNmCtnSecurity,MtdModSTATIC,ClsSqlInvkd,MtdNmCtnRequest,RtnTypByte[],ParamTypCtnWeb,MtdModPUBLIC,ParamTypCtn.io.,MtdDecodInvkd,MtdOutputInvkd,InnerCls,RtnTypServlet,MtdNmCtnReadNotThread,ClsDbInvkd,ClsSTATIC,MtdNmCtnRetriev,MtdGetInvkd,MtdNmStrtGet,MtdNmCtnStream,ImplicitMtd,Cls.io.Invkd,Cls.net.Invkd,SoMtdRtnCreate,ClsNmCtn.io.,MtdNmCtnObject,RtnTypCharSequence,MtdRequestInvkd,ClsNmCtnHtml,ClsAnonymous,ParamTypCtnChar[],RtnTypStr,SoMtdRtnUnescape,MtdUnescapInvkd,SoMtdRtnRead,RtnTypDocument,RtnTypNode,ClsNmCtn.net.,MtdReadInvkd,MtdConstructor,RtnTypRequest,MtdNmCtnLoadNotPayload,ParamTypCtnCharsequence,MtdLoadInvkd,ParamTypCtnByte[],SoMtdRtnDecode,ClsNmCtnSql,ClsPUBLIC
0,8109,0.7500000000000002,1.0,0.006293266586284129,0.0,0.0018706572841531367,0.0,0.0003655659653817097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019641743589036978,0.0,-0.0008400053802836922,0.0,0.1947732032353469,0.0002622569791267542,0.0,0.0,0.0,0.0,0.0,-0.003932034484711629,0.0,0.0,0.0,0.0,0.02307245432178708,0.0,0.0,0.0,0.0,0.0,0.006279240375379961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018021755409584374,0.0,0.0,0.0013400229921882024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.612230159236108e-05,0.0038187391290923443,0.0,0.0,0.0,0.016233875704676354,0.0
1,5710,0.7500000000000002,1.0,0.006561924263029587,0.0,0.002093033364680058,-0.000473267610647501,-0.0003536575171452605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019435755607547688,0.0,-0.00048666184920419605,0.0,0.19504232056564766,0.00015480074350313663,0.0,0.0,0.0,0.0,0.0,-0.0040396422587848585,0.0,0.0,0.0,0.0,0.022868544351609954,0.0,0.0,0.0,0.0003392184365160054,0.00014366000571305242,0.006239994832156641,0.0,0.0,0.0001358951402287202,0.0,0.0,0.0,0.00011729015273308982,0.00018703192463908716,0.0,0.0,0.0,0.0,0.0,0.0008890755797354389,0.00029620807838824295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004118836833309224,0.0,0.0,0.0,0.015971037407816246,0.0
2,3146,0.7500000000000002,1.0,0.00624773835298356,0.0,0.002405271763786812,0.0,0.0,0.0,0.0,0.0,0.00016980736073962788,0.0,0.00018480148677824606,0.0,0.0,0.0,-0.0007405696944433797,0.0,0.19527406845388176,0.00035238239512587526,0.00028605981650277573,9.709905059984419e-05,0.0,-0.0003308804829507642,0.0,-0.00402855557173715,0.0,0.0,0.0,0.0,0.022820700913433658,0.0001842149725346845,0.0,0.0,-0.0002855309793060925,-0.00033297092887398205,0.006858597667451388,0.0,0.0,-0.0005074110046332792,0.0,0.0,0.0,0.00012087603457555446,0.0,0.0,0.0,0.00014385323218089158,0.0,0.0,0.0013974627546121385,-0.0005289731878768859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012419375314537065,0.0039617657806575385,0.0,0.0001262780006879514,0.0,0.015999720060143607,0.0
3,8746,0.7500000000000002,1.0,0.0061361003508730695,0.0,0.002069499938214172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.997708192209186e-05,0.0,-0.0006739098425237399,0.0,0.19514422648976015,0.0,0.00025274919182934926,0.0,0.00017291329869398612,0.0002786227998130052,0.0,-0.004341242887751647,0.0,0.0,0.0,0.0,0.02293078307431563,0.0,0.0,0.0,0.0,0.0,0.006234669651708847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019518122163234255,0.0,0.0,0.0,0.0,0.0,0.0011633934021547771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004101819668983981,0.0,0.0,0.0,0.016265216560373774,0.0
4,7367,0.7500000000000002,0.0,0.001806644374718913,0.0,0.0012723635177923653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007300840813608218,0.0,-0.7691924703664641,0.0,0.0,0.0,0.0,0.0,0.0,-0.005033305479006674,0.0,0.0,0.0,0.0,0.0070127486729900336,0.0,0.0,0.0,0.0,0.0,0.0034018158525634065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000753296437346277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020278580556749607,0.0,0.0,0.0,0.008681133015745468,0.0
5,7203,0.7500000000000002,1.1102230246251565e-16,0.0018642429177855252,0.0,0.0013884893329139945,0.00016205434858771448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008714800940220558,0.0,-0.7691825891446225,0.0,0.0,0.0,0.0,0.0,0.0,-0.005013786936017821,0.0,0.0,0.0,0.0,0.006936134844860536,0.0,0.0,0.0,0.0,0.0,0.0033361661238503998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006947928762177752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002033570336334512,0.0,0.0,0.0,0.008652405394111717,0.0
6,364,0.7500000000000002,1.0,0.006295651830416668,0.0,0.002188502359601672,0.0,0.0,-0.000546601911807682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005579417382294285,0.0,0.19505384834050074,0.0,0.0,0.0,0.0,0.000215823616259356,0.00019288705410420127,-0.0041103975173102545,0.0,0.0,0.0,0.0,0.022947393176258286,0.0,0.0,0.0,0.0,0.0,0.006385771845096042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015870351532700842,0.0,0.0,0.0,0.0016778798750824195,0.0,0.00021174657819764679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00395416370683016,0.0,0.0,0.0,0.015932569269672958,0.0
7,4992,0.7500000000000002,1.0,0.005953591278260876,0.00020686781355436386,0.0022772991048266755,0.0,0.0,0.0,0.0,-0.00038746966114120964,0.0,0.0,0.0,0.0,0.0,0.0,-0.000577561919718555,0.0,0.19518459878566366,0.0,0.0,-0.00032684879579498863,0.0,0.0,0.0,-0.0038523229745455042,0.0,0.0,0.0,0.0,0.022845950188557496,0.0,0.0,0.0,0.0,0.0,0.005963451978570452,0.0,0.0,0.00010865258945353076,0.0,0.0,0.0,0.0,0.0,0.00015504391743603158,0.00040911279216482516,-0.0004695758150684346,0.0,0.0,0.0015202176743002412,0.00023103721371019585,0.0,0.0001410148620798279,0.0,0.0,0.0002886468599299928,0.0,0.0,0.0,0.00022462887696190364,0.0,0.0,0.00015981212603471506,0.003944850368879516,0.0,-0.0003219883792681887,0.0,0.016100671173468948,0.00022031994168336677
8,5598,0.7500000000000002,0.0,0.0,-0.005780092307920523,-0.006456103431956626,0.0,0.0,-0.010670712913656413,0.0,0.0,0.0,0.016235354626990665,0.0,0.0,0.0,0.0,0.0,0.0,-0.30752977039329427,0.0,0.0,0.013482367163591955,0.0,0.0,-0.0058465966123082205,0.25135154548295263,0.0,0.0,0.0,0.0,0.015655774820620416,0.0,0.0,-0.004866751138141474,0.0,-0.008195978325272328,-0.3399592943645746,0.0,0.0,0.0,0.0,0.0,-0.008474451990932219,0.0,0.0,0.0,0.0,-0.005640508400079751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00644639712377511,0.0,0.0,0.0,-0.0041586304136940555,0.0,0.0,0.0,0.0,-0.3326997546785503,0.0
9,5815,0.7500000000000002,1.0,0.006422312872630306,0.0,0.0019924081871295603,0.0,0.0,0.0,0.0,0.00014218184305719387,0.0,0.00011773436778818335,0.00010623008704192487,0.00023267993469157822,0.0001578246499392593,0.0,-0.000746474080952262,0.0,0.19497110223921948,0.0,0.00023625721970520964,7.956397578976257e-05,0.0,0.0,0.00010608823666404874,-0.003976618450855464,0.0,0.0,0.0,0.0,0.023075125750349826,0.0,0.0,0.0,0.0,0.0,0.006130239719772825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011889078088157155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003582015348717966,0.0,0.0,0.0,0.016182420290494604,0.0
