row,dataset_row,base_value,prediction,ClsNmCtnInput,ClsNmEndsReq,ClsAnonymous,ParamTypCtnSql,RtnTypStr,ClsNmCtnHibernate,MtdNmCtnExecute,ClsNmCtnDb,InnerCls,ClsNmEndsEncoder,MtdConstructor,ClsNmCtnJdbc,MtdNmCtnQuery,ParamTypCtnStr,ClsNmCtnDatabase,RtnTypResultSet,MtdCtnParams,ParamTypEqRtnTyp,ImplicitMtd,MtdMakedbInvkd,MtdNmCtnSaniti,ClsNmCtnSql
0,8109,0.014,0.0,0.0,0.0,0.0,-0.0009874065388383432,0.0,-0.0010411199768939905,-0.001171026843611823,0.0003976847493708421,0.0,0.0,0.0,0.0008336713147775587,-0.0009284611038924696,-0.005528885400134073,-9.72484610736351e-05,0.0,-7.713525374884069e-05,0.0,0.0,0.0,0.0,-0.005400072485955226
1,5710,0.014,0.0,0.0,0.0,0.0,-0.0010200215977281529,0.0,-0.0009330719189689429,-0.0011773369139852958,0.0003445946453731649,8.787896493614913e-05,0.0,0.0,0.0007600395634683512,-0.0009537378359635913,-0.005625631066524627,-0.00016325571612892708,0.0,0.0,0.0,0.0,0.0,0.0,-0.005319458124478128
2,3146,0.014,0.0,0.0,0.0,-4.323542067012258e-05,-0.0010151142174788406,0.0,-0.0009645616936868097,-0.0010946057209051166,0.000502766655622032,0.0,0.0,0.0,0.0008732469928062976,-0.0010149422163242463,-0.0055426591462225325,-8.505632844019302e-05,0.0,0.0,0.0,0.0,0.0,-0.00012551795223044533,-0.005490320952470023
3,8746,0.014,0.0,0.0,0.0,0.0,-0.0010950222900414288,0.0,-0.000875607528661603,-0.0011796843587325212,0.00045208983773282796,0.0,0.0,0.0,0.0009161022359000248,-0.0009446147249162405,-0.005625477218670244,-8.985851068452191e-05,0.0,0.0,-0.0001057620983371039,0.0,0.0,0.0,-0.00545216534358919
4,7367,0.014,-1.734723475976807e-18,0.00010251640525792526,0.0,0.0,-0.0010238229148233342,0.0,-0.0011225865075501673,-0.0011899708143514184,0.00031594167236503293,0.0,0.0,0.0,0.000820722783482565,-0.00090750329069967,-0.005551474253340438,-0.00017616175992456217,0.0,0.0,0.0,0.0001106893471890598,0.0,0.0,-0.005378350667604994
5,7203,0.014,-1.734723475976807e-18,0.0,0.0,0.0,-0.0009508960162200286,0.0,-0.00106897204669865,-0.0011352661430067464,0.00041890175151410583,0.0,0.0,0.0,0.0008538771915507283,-0.001020188827882451,-0.005675588486878474,-0.00015994184799122333,0.00012631219509979716,0.0,0.0,0.0,0.0,0.0,-0.00538823776948706
6,364,0.014,-1.734723475976807e-18,0.0,0.0,0.0,-0.0010986588214703572,0.0,-0.0010210479601681947,-0.0011781485138860433,0.0003929596165277332,0.0,0.0,0.0,0.0008429427046004436,-0.0010096219176732326,-0.005542000216096586,-0.00014552731356116098,0.0,0.0,0.0,0.0,0.0,0.0,-0.005240897578272603
7,4992,0.014,0.0,0.0,0.0001075816767700362,0.0,-0.0009996192475639875,0.0,-0.0009780152156757635,-0.0012357137044998418,0.00036432101512178715,0.0,0.0,0.0,0.0008709627946007261,-0.0010350270722430093,-0.005608202293399175,-5.110465337982881e-05,0.00012728338285405405,0.0,0.0,-0.00012179975384368804,0.0,0.0,-0.00544066692874131
8,5598,0.014,1.734723475976807e-18,-0.0017006191175046208,0.0,0.0,-0.001476678605382547,-0.0007886728952906257,-0.0010275258383154284,0.0,-0.012646217923846324,0.0,0.0,0.0,-0.017645864147393574,-0.000634718243897295,-0.015938154592811477,0.0,0.0,-0.0013005484882118005,0.0,0.0,0.0,0.0,0.0391589998526537
9,5815,0.014,1.734723475976807e-18,0.0,0.0,0.0,-0.0009795897051162494,-8.072289548682692e-05,-0.0009774400537345556,-0.0011859763377393012,0.00045789893201422327,0.0,0.0,0.0,0.0009175141843283154,-0.0009691991792118817,-0.005583846089780376,-0.00019327383613243848,0.0,0.0,0.0,0.0,0.0,0.0,-0.00540536501914091
