Feature,SHAP Value
ParamTypCtnStr,0.140982623060344
MtdCtnParams,0.029034123221239327
ClsNmCtnJdbc,0.023847846561214203
MtdWritInvkd,0.009932634057808884
ClsNmCtnWeb,0.009487006284933217
MtdModPUBLIC,0.008726618245507476
ClsPUBLIC,0.008125322711090871
MtdNmCtnStream,0.007329618305437287
MtdputInvkd,0.005313212954425356
ClsFINAL,0.004685896041964631
MtdFrmClsNetInvkd,0.003958652652919818
ParamTypCtnStringbuilder,0.0037517930815582634
MtdHandlInvkd,0.003469764739994922
MtdLoneGetterOrSetter,0.003010746742885632
ClsNmCtnNet,0.002635851411006631
MtdFrmClsSqlInvkd,0.0024483898851678787
MtdModPRIVATE,0.002338957378174291
ParamTypCtnByte[],0.0022684388957140513
MtdNmCtnPars,0.0017743066135232355
ParamDfSiMtdWrit,0.001665275200893675
ClsNmCtnSecurity,0.0015812015027585429
MtdLogInvkd,0.0015079216906528914
MtdModFINAL,0.0011927020219194562
MtdNmCtnHandl,0.0010955063545335837
ParamTypCtnDb,0.0008848161226708099
ParamDfSiMtdStream,0.0008605212383583638
ParamDfSiMtdPars,0.0003288558821117708
ParamDfSiMtdDump,0.0002145197117412271
MtdRunInvkd,0.00021451971174121787
MtdsendInvkd,0.00021061596211316425
MtdParsInvkd,0.00010107358379955282
ParamDfSiMtdHandl,4.304380649926739e-05
ClsNmCtnInput,9.693225668026365e-06
MtdNmCtnSend,3.4528282007358544e-06
MtdDumpInvkd,0.0
ClsNmCtnRedirect,0.0
MtdNmCtnSetheader,0.0
InnerCls,0.0
sink,0.0
MtdPrintInvkd,0.0
ImplicitMtd,0.0
MtdConstructor,0.0
ClsNmCtnHtml,0.0
ClsNmEndsRender,0.0
MtdNmCtnRedirect,0.0
MtdNmCtnDump,0.0
MtdStrtOn,0.0
ClsAnonymous,0.0
ClsSTATIC,0.0
ParamDfSiMtdUpdat,0.0
ParamTypCtnWeb,0.0
MtdNmStrtSet,0.0
ParamDfSiMtdRun,0.0
ParamDfSiMtdSend,-1.031429712935091e-08
ClsNmCtnManager,-1.5450402192085377e-06
ParamTypCtnSql,-5.776559539233395e-06
ParamTypCtnChar[],-1.0889847002084249e-05
MtdFrmClsLogInvkd,-4.497252415601912e-05
MtdNmCtnUpdat,-0.00046695578669359955
MtdFrmClswebInvkd,-0.0009881228303084504
ParamDfSiMtdPrint,-0.0011105439881184398
MtdupdatInvkd,-0.0011105524272787732
RtnTypResultSet,-0.0014645835229970168
MtdFrmClsDbInvkd,-0.0018253185087358237
MtdSetInvkd,-0.0020501553625058198
MtdNmCtnPrint,-0.0024138219720209373
ParamTypCtnCharsequence,-0.0025179948664773946
ParamDfSiMtdPut,-0.0028101043885496815
MtdNmCtnExecut,-0.003656923334819697
ParamTypCtnIo,-0.004853036579326647
MtdNmCtnLog,-0.005655486116838915
MtdNmCtnReplac,-0.006031366612425537
MtdNmCtnWrit,-0.006210899578184372
ClsNmCtnResponse,-0.007022588877411732
MtdExecutInvkd,-0.007036971907328549
MtdModSTATIC,-0.007930162471732246
MtdReplacInvkd,-0.008437624067317509
MtdNmCtnRun,-0.009127660574103247
ClsNmEndsReq,-0.009260044205012946
ParamDfSiMtdExecut,-0.009411457622223349
MtdFrmClsIoInvkd,-0.011178672911723983
ClsNmCtnIo,-0.017712742292312438
ParamDfSiMtdSet,-0.020518879743167556
ClsNmCtnSql,-0.029985410933004098
ParamDfSiMtdLog,-0.031176373620407427
