Feature,SHAP Value,Source
ParamDfSiMtdSend,-6.588743291393214e-06,1
MtdNmCtnSend,-3.5677766185474025e-05,1
MtdNmCtnPars,-0.00010293696335,1
MtdFrmClsSqlInvkd,-0.0006193351243675,1
MtdModPRIVATE,-0.0006792517529737,1
ParamDfSiMtdStream,-0.0006928086799173,1
MtdputInvkd,-0.0009260382427557,1
MtdNmCtnHandl,-0.000931754352662,1
ParamDfSiMtdPars,-0.0010504675104115,1
ParamDfSiMtdHandl,-0.0011266978502532,1
ParamTypCtnIo,-0.0013182266039153,1
MtdsendInvkd,-0.001515986095793,1
RtnTypResultSet,-0.0016773437334999,1
ParamTypCtnSql,-0.0021410106275373,1
MtdNmCtnPrint,-0.0021780492252652,1
MtdNmCtnUpdat,-0.0024272753797262,1
ParamDfSiMtdPut,-0.002953380909979,1
MtdFrmClsLogInvkd,-0.0034160587417021,1
MtdFrmClsNetInvkd,-0.0035790828954612,1
ClsNmCtnManager,-0.0035793738499344,1
ParamTypCtnCharsequence,-0.0036430243210118,1
MtdNmCtnWrit,-0.0041727688540812,1
MtdNmCtnRun,-0.0045386066216114,1
MtdReplacInvkd,-0.004662772995651,1
ParamDfSiMtdExecut,-0.005343066629349,1
MtdExecutInvkd,-0.0053641051469861,1
MtdModPUBLIC,-0.0057551559869333,1
ClsNmCtnResponse,-0.0058474937860284,1
MtdNmCtnExecut,-0.0074179693197766,1
ParamDfSiMtdSet,-0.0114101833714017,1
ClsNmCtnSql,-0.0125776790791272,1
MtdNmCtnReplac,-0.0146122482956671,1
MtdSetInvkd,-0.0152760647998496,1
ClsNmEndsReq,-0.0160069131452059,1
ParamDfSiMtdLog,-0.0247218120584423,1
MtdNmCtnLog,-0.0284857411029022,1
ClsNmCtnIo,-0.0390634238039999,1
MtdCtnParams,-0.0737839079484242,1
ParamTypCtnStr,-0.1309957819366495,1
MtdPrintInvkd,0.1086035904130307,2
MtdFrmClsIoInvkd,0.0557250120817369,2
MtdSetInvkd,0.0054279573080538,2
MtdNmCtnPars,0.00527141439414,2
ClsNmCtnJdbc,0.00489915124649,2
MtdWritInvkd,0.0037020721280617,2
ClsNmCtnWeb,0.003409669324836,2
MtdLoneGetterOrSetter,0.0033693144039061,2
ParamTypCtnStringbuilder,0.0024985753746498,2
ParamTypCtnChar[],0.0021682089586545,2
ClsNmCtnSecurity,0.0020806970262657,2
MtdFrmClsNetInvkd,0.0018611861887442,2
ParamTypCtnByte[],0.0013052156128183,2
MtdHandlInvkd,0.0010567937693007,2
ParamDfSiMtdHandl,0.0009709858463482,2
