Feature,SHAP Value
MtdNmCtnPrint,0.16545626404031707
ParamTypCtnStr,0.09129164036473188
MtdWritInvkd,0.06484712868880864
ClsFINAL,0.0260634265312915
MtdCtnParams,0.020580667116568675
ParamDfSiMtdWrit,0.019185724090133378
ParamTypCtnIo,0.01228030357067019
ClsNmCtnJdbc,0.011601620495212517
MtdputInvkd,0.009461802520421314
ClsNmCtnWeb,0.009015918807249371
MtdModPUBLIC,0.0070894249350645705
MtdFrmClsSqlInvkd,0.005068598501994509
ParamTypCtnStringbuilder,0.004302980620841147
ParamTypCtnByte[],0.003458960470894707
ClsNmCtnNet,0.0027367995866907544
ClsNmCtnSecurity,0.002500034802696801
MtdReplacInvkd,0.0023086412912228516
MtdSetInvkd,0.00226526895803332
MtdModFINAL,0.002160137779065883
MtdFrmClsDbInvkd,0.002064781762334702
ParamTypCtnChar[],0.0019003417143321488
MtdFrmClsNetInvkd,0.0018606707468341217
ClsNmCtnManager,0.0018089362547698458
MtdFrmClswebInvkd,0.0015837961007855266
MtdLoneGetterOrSetter,0.0014243090479680355
MtdNmCtnHandl,0.0012421582763390744
MtdLogInvkd,0.0007227477513300495
MtdHandlInvkd,0.0006468035470654868
MtdNmCtnPars,0.00045221995562170933
ParamDfSiMtdPars,0.0002791339096957224
MtdRunInvkd,0.0002145197117412271
ParamTypCtnDb,5.998807614429613e-05
MtdNmCtnLog,4.698576447484393e-05
ParamDfSiMtdDump,0.0
MtdNmCtnSetheader,0.0
MtdupdatInvkd,0.0
ClsNmCtnRedirect,0.0
sink,0.0
ImplicitMtd,0.0
InnerCls,0.0
MtdFrmClsLogInvkd,0.0
ClsNmCtnHtml,0.0
MtdNmCtnRedirect,0.0
MtdConstructor,0.0
ClsNmEndsRender,0.0
MtdNmCtnDump,0.0
ClsSTATIC,0.0
ParamDfSiMtdUpdat,0.0
ParamDfSiMtdPrint,0.0
MtdStrtOn,0.0
ParamTypCtnWeb,0.0
ClsAnonymous,0.0
MtdNmStrtSet,0.0
ClsNmCtnInput,-1.546072655086069e-07
MtdsendInvkd,-4.660636036777725e-06
MtdPrintInvkd,-0.00014512481925251416
ParamDfSiMtdSend,-0.0004157972184424726
MtdNmCtnSend,-0.0004479409378723061
ParamDfSiMtdStream,-0.0005243406256297175
MtdDumpInvkd,-0.0005558385456109113
MtdNmCtnUpdat,-0.0007988256953665266
ParamDfSiMtdHandl,-0.0008408041363423177
MtdParsInvkd,-0.0010197418476963576
ParamDfSiMtdRun,-0.0011105439881184582
ParamTypCtnSql,-0.0015238681489959567
MtdNmCtnRun,-0.0017311566307820492
ClsNmEndsReq,-0.0022590469307380012
ParamTypCtnCharsequence,-0.0024286828806745764
ParamDfSiMtdPut,-0.0024658110340580832
RtnTypResultSet,-0.002709800126051015
MtdModPRIVATE,-0.0028663812346197103
ParamDfSiMtdExecut,-0.004070270720913582
ClsNmCtnResponse,-0.004208626489365111
ClsPUBLIC,-0.005645030767512836
MtdNmCtnExecut,-0.006147130465045826
MtdNmCtnWrit,-0.0061957692696239935
MtdExecutInvkd,-0.006492664418516787
MtdNmCtnStream,-0.00919637046304885
MtdNmCtnReplac,-0.009252422856711212
ClsNmCtnSql,-0.010325271805547947
ParamDfSiMtdSet,-0.013699890129306327
ParamDfSiMtdLog,-0.02334663639616863
ClsNmCtnIo,-0.03576532152600347
MtdFrmClsIoInvkd,-0.13868812910151473
MtdModSTATIC,-0.1535705433496796
