Feature,SHAP Value
MtdModSTATIC,0.09705910855335516
MtdPrintInvkd,0.05096563485989763
MtdFrmClsDbInvkd,0.006564319612892032
ClsNmCtnWeb,0.0036999232609040075
MtdLoneGetterOrSetter,0.00333008692413612
ClsNmCtnNet,0.0028582302020715247
ParamTypCtnStringbuilder,0.002235260270050642
ClsNmCtnSecurity,0.0017489019067726656
MtdSetInvkd,0.0015608301317808423
ClsNmCtnManager,0.001372731478089859
ClsNmCtnInput,0.001250379624859639
ParamDfSiMtdStream,0.0012492459100776065
MtdNmCtnPars,0.0011041238288195601
ParamDfSiMtdWrit,0.0009439826363587164
ParamTypCtnDb,0.0007857723319160218
MtdFrmClsNetInvkd,0.000714873909097182
MtdNmCtnHandl,0.0006934718672884504
ClsPUBLIC,0.0006691109855578234
MtdModFINAL,0.000625613377000103
MtdModPUBLIC,0.000572608868379972
MtdFrmClswebInvkd,0.0005629557804937337
MtdWritInvkd,0.0002207949009282358
MtdDumpInvkd,0.00021451971174124562
ParamDfSiMtdPars,0.00014624023933633898
MtdHandlInvkd,0.00011038269502816611
MtdsendInvkd,8.346315457467371e-07
MtdNmCtnRedirect,0.0
ClsNmEndsRender,0.0
sink,0.0
ParamDfSiMtdUpdat,0.0
MtdNmCtnDump,0.0
ClsAnonymous,0.0
ClsNmCtnRedirect,0.0
ParamDfSiMtdDump,0.0
MtdNmCtnSetheader,0.0
ClsNmCtnHtml,0.0
MtdRunInvkd,0.0
MtdFrmClsLogInvkd,0.0
InnerCls,0.0
MtdParsInvkd,0.0
ImplicitMtd,0.0
ClsSTATIC,0.0
MtdConstructor,0.0
ParamTypCtnWeb,0.0
MtdNmStrtSet,0.0
MtdStrtOn,0.0
ParamDfSiMtdRun,0.0
ParamDfSiMtdPrint,0.0
ParamTypCtnChar[],-1.3904329537369382e-06
RtnTypResultSet,-9.270611967833927e-06
MtdLogInvkd,-2.9515936455439446e-05
ParamDfSiMtdSend,-0.00019767097846112394
ParamTypCtnByte[],-0.00044810819252288453
MtdReplacInvkd,-0.0004540128850572672
MtdNmCtnStream,-0.0005833780963474972
ParamTypCtnSql,-0.0006842105433211912
ParamDfSiMtdPut,-0.0006846323848139421
MtdNmCtnSend,-0.000729424358516075
MtdupdatInvkd,-0.0008960242763772219
ParamDfSiMtdHandl,-0.001102710160826433
ParamTypCtnIo,-0.001892963235155647
MtdModPRIVATE,-0.002065540728097041
ClsNmCtnResponse,-0.0021976880786062727
MtdNmCtnExecut,-0.0032714996087537898
MtdNmCtnPrint,-0.003823182428502487
MtdNmCtnRun,-0.003868157540599849
ParamDfSiMtdExecut,-0.004363815973982499
ParamTypCtnCharsequence,-0.00439281916622207
MtdFrmClsSqlInvkd,-0.005003656866629902
MtdFrmClsIoInvkd,-0.005274008554502982
MtdNmCtnUpdat,-0.005277436216658833
MtdNmCtnWrit,-0.0054038669838715565
MtdExecutInvkd,-0.00569878359187045
MtdputInvkd,-0.006042857656281417
ClsNmEndsReq,-0.006354175491947435
MtdNmCtnReplac,-0.006526953542586931
ClsNmCtnIo,-0.0065988320733426364
ParamDfSiMtdLog,-0.007450961574361786
ParamDfSiMtdSet,-0.008347338050843546
ClsNmCtnSql,-0.011053749327832886
ClsNmCtnJdbc,-0.018191450593168415
MtdNmCtnLog,-0.019272560072121494
ClsFINAL,-0.02821155291495629
MtdCtnParams,-0.04057964290465988
ParamTypCtnStr,-0.10335074778396043
