ClsNmCtnWeb,MtdModFINAL,ParamTypCtnSql,MtdNmCtnName,MtdNmCtnDecod,ClsNmCtnOutput,SoMtdRtnGet,SoMtdRtnRequest,MtdModPRIVATE,ClsNmCtnManager,MtdNmCtnUnescap,ClsFINAL,MtdCreatInvkd,SoMtdRtnLoad,ClsWebInvkd,ParamTypCtnDb,MtdCtnParams,ParamTypCtnStr,RtnTypConstant,MtdNmCtnCreat,MtdNmCtnPars,ClsNmCtnSecurity,MtdModSTATIC,ClsSqlInvkd,MtdNmCtnRequest,RtnTypByte[],ParamTypCtnWeb,MtdModPUBLIC,ParamTypCtn.io.,MtdDecodInvkd,MtdOutputInvkd,InnerCls,RtnTypServlet,MtdNmCtnReadNotThread,ClsDbInvkd,ClsSTATIC,MtdNmCtnRetriev,MtdGetInvkd,MtdNmStrtGet,MtdNmCtnStream,ImplicitMtd,Cls.io.Invkd,Cls.net.Invkd,SoMtdRtnCreate,ClsNmCtn.io.,MtdNmCtnObject,RtnTypCharSequence,MtdRequestInvkd,ClsNmCtnHtml,ClsAnonymous,ParamTypCtnChar[],RtnTypStr,SoMtdRtnUnescape,MtdUnescapInvkd,SoMtdRtnRead,RtnTypDocument,RtnTypNode,ClsNmCtn.net.,MtdReadInvkd,MtdConstructor,RtnTypRequest,MtdNmCtnLoadNotPayload,ParamTypCtnCharsequence,MtdLoadInvkd,ParamTypCtnByte[],SoMtdRtnDecode,ClsNmCtnSql,ClsPUBLIC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005812062445291461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12816621415304824,0.031153617686942116,0.0,0.0,0.004850772107482647,0.0,0.005204742814753721,0.0,0.0,0.0,0.0,0.0,0.006539063126024585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04510598980200253,0.0,0.0,0.0,0.005443314757526469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030347187144724357,0.0,0.0032815649187227236,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006498991931918598,0.0,0.0,0.017764771017176235,0.0,0.0,0.0,0.0,0.1222614313781054,0.031070411633942977,0.004394403234954269,0.0,0.0,0.0,0.014077773752540068,0.0,0.0,0.0,0.0,0.016883123879175094,0.0057205835996111155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004742178267022724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005871372001056201
0.0,-0.008749062733514222,0.0,0.0,0.0,0.0,0.0,0.0,0.005815123612542118,0.0,0.0,-0.01947041030085705,0.0,0.0,0.0,0.0,0.11721173572468468,0.05085508935177047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00349377908838204,0.008022725159911573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029001317275676702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010812008085671813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043206935974882295,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.008485755479411763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5620103796935522,-0.11960944370713118,-0.016152221241571788,0.0,0.0,-0.006026719186293996,0.0,0.0,0.0,0.0,0.0,-0.02229602538215494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521442736619812,0.0,0.0,0.0,0.0,-0.006390662107191799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03275535270875961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005055101925950711
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01021545784296012,0.0,0.0,0.0,0.0,0.0848408222117836,0.018382487352518392,-0.0074564775459720276,0.0,0.0,0.0,0.00581318111303826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02049006245883318,0.0,0.0,0.0,0.003857293624120685,0.0,0.0,0.0,-0.08933993035379487,0.0,0.0,0.0,0.0,0.0,0.007772400324014634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005202387256601131,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006374553038437637,0.0,0.0,0.004930659201805508,0.0,0.0,0.0,0.0,0.11952291706809709,0.06017620350685961,0.0,0.0,0.0,0.0,0.003621269988126265,0.0,0.0,0.0,0.0,0.0,0.006574800807361925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025194860020221387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00970004910518693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004068238317063068,0.0,0.0,0.0,0.0,0.006287757610134132
0.0,-0.018746972063975253,0.0,-0.005597851454892516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03724741803380066,0.0,0.0,0.0,0.0,0.07303713187181574,0.016812005043297495,0.0,0.0,0.0,-0.013154085444530454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050140671601832075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01509222418690276,0.0,0.0,0.0,0.0,0.0,-0.0105181948243589,0.0,0.0,0.0,0.0,-0.44283889454058156,0.0,0.0,0.0,0.0,0.0
0.0,-0.008722444036763524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6325301569795904,0.020613803080719424,-0.015204974372073516,0.0,0.0,-0.001936063403714593,0.0,0.0,0.0,0.0,0.0,-0.0018485369808324266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014170105178376084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03791941885455709,0.0,0.0,0.0,0.0,0.0,-0.0020607995218889785,0.0,0.0,0.0,-0.002597944884478142,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045560117188154356,0.0,0.0,0.003622797160670178,0.0,0.0,0.0,0.0,0.1185217742443961,0.05852989065493233,0.0,0.0,0.0,0.0,0.0029360114381584423,0.0,0.0,0.0,0.0,0.0,0.005489612017158315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025841513503434194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002252466935998548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016518666584846922,0.0,0.0,0.004942573087297092
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046169442613950215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11925763126430204,0.012291823286612774,0.0,0.0,0.0,0.0,0.012312266000732385,0.0,-0.028107425813071508,0.0,0.0,0.012236321339503496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02234650619752029,0.0,0.0,0.0,0.006621993733231998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016951193925713804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07401199177819572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
