Feature,SHAP Value
MtdCtnParams,0.010273381114425346
ParamTypCtnStr,0.005282246168601282
ParamTypEqRtnTyp,0.003484348776762021
ClsNmCtnHibernate,0.0007041040373339322
ClsNmCtnDom,0.0005699046417196948
ClsNmCtnInput,0.0002505606499331206
RtnTypDocument,0.0
ClsAnonymous,0.0
ClsNmCtnCss,0.0
MtdNmCtnSetheader,0.0
RtnTypServlet,0.0
InnerCls,0.0
MtdStrtOn,0.0
RtnTypReq,0.0
ClsNmEndsRender,0.0
MtdNmStrtSet,0.0
ClsNmEndsEncoder,0.0
ImplicitMtd,0.0
ClsNmCtnHtml,0.0
CWE79,0.0
ClsNmCtnPage,0.0
MtdFrmClsWebInvkd,-0.0028693094296756063
ClsNmEndsReq,-0.0029862065577463005
RtnTypNode,-0.003212485562171215
RtnTypStr,-0.006685671802597971
MtdNmCtnSaniti,-0.0087297069213439
ClsNmCtnWeb,-0.011526052103119269
