row,dataset_row,base_value,prediction,ClsNmCtnEncod,ParamDfRtn,MtdModFINAL,RtnTypByte[],MtdModPUBLIC,ClsEscapInvkd,MtdSanitiInvkd,ParamTypCtnStringbuilder,ClsNmEndsEncoder,MtdNmStrtSet,ClsSTATIC,MtdNmCtnEscapeNotUnescape,MtdNmCtnUnescape,MtdNmCtnStrip,MtdNmStrtPut,MethodEncodInvkd,MtdNmCtnVerif,MtdNmStrtGet,MtdNmCtnEncodNotEncoding,ParamTypEqRtnTyp,ImplicitMtd,ClsNmCtnPage,ClsFINAL,ClsEncodInvkd,RtnTypCharSequence,MethodEscapInvkd,MethodMatchInvkd,MethodRegexInvkd,ParamTypCtnChar[],RtnTypStr,MtdNmCtnReplac,ClsNmCtnValid,MethodStripInvkd,MtdConstructor,ClsNmCtnEscap,ParamTypCtnStr,ParamTypCtnCharsequence,MtdNmStrtHas,ParamTypCtnByte[],MtdNmCtnRegex,ClsRegexInvkd,MtdReplacInvkd,MtdCtnParams,ClsNmCtnSaniti,ClsSanitiInvkd,MtdModSTATIC,MtdNmCtnSaniti,ClsPUBLIC
0,8109,0.013661406048909473,3.949280406173594e-09,0.0003524138142061568,0.0,-0.00018028203762037966,0.0,0.0,0.0,-0.00042399859690164766,0.0,-0.00017357315150610904,0.0,0.0,-0.0011358961479641092,-0.0002872722567669758,0.0,0.0,0.0,0.0,0.0,-0.0015552739181301657,-0.002385103368060185,0.00025346993542349835,0.0,-0.00024992949843664626,0.0,0.0,0.0,-8.41718985180521e-05,0.0,0.0,-0.002005913204874,-0.00041980479689912554,-7.603921638898284e-05,0.0,0.0,0.0,-0.0015020001963286982,-0.0001370747642198558,0.0,-0.00024172657998502796,0.0,-6.784108584870034e-05,-0.00012505678454827253,-0.0019904276453564865,0.0,0.0,-0.00032327333419980645,-0.0009026273667054954,0.0
1,5710,0.013661406048909473,3.949280411377765e-09,0.000242698215714623,0.0,-0.0002472771191637206,0.0,0.0,0.0,-0.0003844948979352625,0.0,-0.00011505299433564883,0.0,0.0,-0.0011574497132854926,-0.0003396334519009295,0.0,0.0,-0.0001186046887737264,-2.123138055653822e-05,0.0,-0.0015407274636168526,-0.0023913154505062787,0.00036866278989059506,0.0,-0.00031443945874328475,0.0,0.0,0.0,-8.4598307942969e-05,0.0,0.0,-0.002095506153069054,-0.00036625551063047097,-0.0001126975935241252,0.0,0.0,0.0,-0.0015900158409848022,0.0,0.0,-0.0002131701325532443,-3.748887588795325e-05,-9.707508635001943e-05,0.0,-0.0018826140185184757,0.0,0.0,-0.00029889034181761854,-0.0008642246251378133,0.0
2,3146,0.013661406048909473,3.154041226284543e-08,0.0003871106979748832,0.0,-0.00022959081737386944,0.0,0.0,0.0,-0.00043788688779195965,0.0,-0.00015445501857454054,0.0,0.0,-0.0011947335325254598,-0.000429620119958877,0.0,0.0,0.0,-4.563664003739775e-05,0.0,-0.0019235037381150322,-0.0026585581894439576,0.0003557042938575116,0.0,0.0011948976948365968,0.0,0.0,0.0,0.0,0.0,-5.9354393313399585e-05,-0.002342688158141564,-0.0004965635110673232,-0.00016355833598403807,0.0,0.0,-2.7284267183236214e-05,-0.0017288484000720016,0.0,0.0,-0.00022326372126978578,-4.7960841493357304e-05,-5.4257886003002043e-05,0.0,-0.0020665088796056317,0.0,0.0,-0.00036146022534330687,-0.0009533536318684591,0.0
3,8746,0.013661406048909473,3.949280407908318e-09,0.00030388113956211505,0.0,-0.00014748807815972124,0.0,0.00015957628255743427,0.0,-0.0004671295106434832,0.0,-0.00012199181447326061,0.0,0.0,-0.001105298077919219,-0.0003951410346543961,0.0,0.0,0.0,0.0,0.0,-0.0016342407882252055,-0.0023144328574309816,0.000256230748053876,0.0,-0.00032901228410183635,0.0,0.0,0.0,0.0,0.0,-7.239992779232266e-05,-0.0021302877492382103,-0.0004173965432957308,-0.00023498685982185167,0.0,0.0,0.0,-0.0016676686353226224,0.0,0.0,-0.00023457327984397839,0.0,-6.124453803036935e-05,0.00013796750504565231,-0.001907886130477413,0.0,0.0,-0.00034334824419658753,-0.0008501699400544311,-8.43614811665231e-05
4,7367,0.013661406048909473,1.2693596665100393e-08,0.00038773245693208934,-8.508490014347723e-05,-0.00018174510594336975,0.0,8.580819827696988e-05,0.0,-0.0005566518307265015,0.0,-0.00021463700553896818,0.0,0.0,-0.0011685135617534646,-0.00038364370366172955,0.0,0.0,0.0,0.0001784587972463589,0.0,-0.0015103941448549952,-0.0023023256522620994,-0.0019102838327889997,0.0,-0.00019952430199141614,0.0,0.0,0.0,-0.00011689290525037044,0.0,-8.995506894813689e-05,-0.0022778102809798404,-0.0004195503079030469,-9.542322136578346e-05,0.0,0.0,-3.5459258756748843e-05,-0.001388034678515698,-2.295221571745163e-05,0.0,-0.00013615659270349028,-4.896948626749888e-05,-0.0001376074999199697,-0.00010696080437948029,7.112958137631446e-05,0.0,0.0,-0.00028428094574855356,-0.0008740246920802573,0.00016235960905680927
5,7203,0.013661406048909473,1.8607482175046763e-07,0.0003275506146159482,0.0,-0.00020694883881203552,0.0,0.0,0.0,-0.0004416943159623496,0.0,-0.00016635221133688935,0.0,0.0,-0.0012528933609759364,-0.00039132863357630116,0.0,0.0,0.0,0.0,0.0,-0.002014725840514658,-0.0027601650309841724,0.0003832422553202958,0.0,-0.00036472349576392157,0.0,0.0,0.0,-0.0001636790601382221,0.0,-4.814747006943367e-05,-0.0024366940999813107,-0.00042504796581097884,-0.0001666539963922096,0.0,0.0,0.0,-0.0017582294930271196,0.0,0.0,-0.00025646218221924604,-2.737293900949982e-05,-5.154584734092241e-05,0.0,0.0,0.0,0.0,-0.00028796118063913976,-0.0010918471506241871,-5.953973084543186e-05
6,364,0.013661406048909473,3.949280411377765e-09,0.00024424680977386444,9.551563805937604e-05,-0.00018172764353401686,0.0,0.00022793147706378245,0.0,-0.0005726512702138705,0.0,-0.0001268556818900788,0.0,0.0,-0.0010746931830077542,-0.00037879018273776323,0.0,0.0,0.0,0.0,0.0,-0.0015084984566443194,-0.0025366185972586783,0.0004109931351667875,0.0,-0.00035137967276766647,0.0,0.0,0.0,0.0,0.0,-6.516874740043464e-05,-0.002049143493133089,-0.0002898332874386396,-0.00020276813912042767,0.0,0.0,0.0,-0.0017356407171332385,-8.207959793492085e-05,0.0,-0.00021760027785855577,0.0,-0.000134117667087102,-4.671355566763918e-05,-0.0019439469289415745,0.0,0.0,-0.0002630161006813962,-0.0008788459592417083,0.0
7,4992,0.013661406048909473,8.650108320046312e-07,0.00033253915195567235,0.0,0.0010777101088126969,0.0,0.0,0.0,-0.00041747144527758373,0.0,-0.00017045668258099952,0.0,0.0,-0.0013634616171272576,-0.0004676618523136632,0.0,0.0,-2.226613121255193e-05,0.0,0.0,-0.0024298200216825577,-0.00310231182203592,0.0003963935398347929,0.0,-0.00040131372685837425,0.0,0.0,0.0,0.0,0.0,-6.868690308705352e-05,-0.0027430481919673098,-0.0005725847459150005,-0.00010234387082089957,0.0,0.0,8.241144078980894e-05,-0.0018943104803413738,0.0,0.0,-0.0003013771246509758,0.0,-0.00012910263195088428,-4.3304539706566274e-05,0.00023110504666475285,0.0,0.0,-0.0003157134085832122,-0.0011475796026575904,-8.788552736541805e-05
8,5598,0.013661406048909473,1.860748217487329e-07,0.00030205876792505716,0.0,-0.0002467367472621424,0.0,0.0,0.0,-0.00044268227837155754,0.0,-0.00024690355778176346,0.0,0.0,-0.001305768574073166,-0.0003942793052547773,0.0,0.0,0.0,0.0,0.0,-0.002055856027130787,-0.0027659684838326403,0.0003213384558183749,0.0,-0.00028297926545964536,0.0,0.0,0.0,-7.661299350964981e-05,0.0,0.0,-0.0025259541681529377,-0.00048536787903302123,-0.00015103168860471428,0.0,0.0,0.00013906323698626834,-0.0017968188298424718,-3.4995981904032996e-05,0.0,-0.0001769902672977486,0.0,-0.00014390868169978234,0.0,0.0,0.0,0.0,-0.00022995679535030237,-0.001060868910256283,0.0
9,5815,0.013661406048909473,1.5380060549782804e-08,0.0004009240286994497,0.0,0.0008394685341039137,-3.929978367175392e-05,-0.0021383368415530085,0.0,-0.000461767908199009,0.0,-0.00010831230245883165,0.0,0.0,-0.0011762612232113715,-0.0004651761049090337,0.0,0.0,-7.293627209521843e-05,-5.515544746095477e-05,0.0,-0.0018732619866043939,-0.002394617638674739,0.00029810767990863393,0.0,0.0012009957757820723,0.0,0.0,0.0,-6.0411422849339536e-05,0.0,-2.4895289356465788e-05,-0.0021805271057325124,-0.0004903845423379745,-8.009512283091789e-05,0.0,0.0,0.00015293836729247967,-0.0016692409824173688,0.0,0.0,-0.0002024415719971741,0.00016122917486537545,-0.00016342341061784026,-0.00011451899990327253,-0.0018113835855518515,0.0,0.0,-0.0003116928465686582,-0.0009254230785796647,0.00010450923808050586
