ClsNmCtnWeb,MtdModFINAL,ParamTypCtnSql,MtdNmCtnName,MtdNmCtnDecod,ClsNmCtnOutput,SoMtdRtnGet,SoMtdRtnRequest,MtdModPRIVATE,ClsNmCtnManager,MtdNmCtnUnescap,ClsFINAL,MtdCreatInvkd,SoMtdRtnLoad,ClsWebInvkd,ParamTypCtnDb,MtdCtnParams,ParamTypCtnStr,RtnTypConstant,MtdNmCtnCreat,MtdNmCtnPars,ClsNmCtnSecurity,MtdModSTATIC,ClsSqlInvkd,MtdNmCtnRequest,RtnTypByte[],ParamTypCtnWeb,MtdModPUBLIC,ParamTypCtn.io.,MtdDecodInvkd,MtdOutputInvkd,InnerCls,RtnTypServlet,MtdNmCtnReadNotThread,ClsDbInvkd,ClsSTATIC,MtdNmCtnRetriev,MtdGetInvkd,MtdNmStrtGet,MtdNmCtnStream,ImplicitMtd,Cls.io.Invkd,Cls.net.Invkd,SoMtdRtnCreate,ClsNmCtn.io.,MtdNmCtnObject,RtnTypCharSequence,MtdRequestInvkd,ClsNmCtnHtml,ClsAnonymous,ParamTypCtnChar[],RtnTypStr,SoMtdRtnUnescape,MtdUnescapInvkd,SoMtdRtnRead,RtnTypDocument,RtnTypNode,ClsNmCtn.net.,MtdReadInvkd,MtdConstructor,RtnTypRequest,MtdNmCtnLoadNotPayload,ParamTypCtnCharsequence,MtdLoadInvkd,ParamTypCtnByte[],SoMtdRtnDecode,ClsNmCtnSql,ClsPUBLIC
0.0,0.0,0.004725318973853253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35196605513952123,0.0,0.0,0.0,0.0,0.0,0.0,-0.029359558428771068,0.0,0.0,0.0,0.0,0.004605124503656913,0.0,0.0,0.0,0.0,0.0,0.003995170090782152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0032865628010006398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17513886678490984,0.00036777077303431414,0.0,0.0,0.0,0.0,0.000413574569073931,-0.01512505973530615,0.00046098316336774456,0.0,0.0,0.0,0.0028412601903591754,0.0,0.0,0.0,0.0,0.0,0.002587651899316454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005995106573553066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18709436621858097,0.0
0.0,0.0,0.003408139222737799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001153184799002202,0.0,0.0,0.0,0.0,0.28512679195076907,0.0,0.0,-0.0013815833105821906,0.0,0.0,0.0,-0.021716875204351935,-0.0015058933678959786,0.0,0.0,0.0,0.014124115197470035,0.0,0.0,0.0,0.0013970442395361423,0.0,-0.6490143181810346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002715764252353922,0.0
0.0,0.0,0.006626374988818126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5828838407731174,0.0,0.0003282142094515522,0.0,0.0,0.0,0.0,-0.013593794029161745,0.0002480062590919679,0.0,0.0,0.0,0.03335349030559282,0.0,0.0,0.0,0.0,0.0,0.014061586819601549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001522547693691166,0.0,0.007867271040695633,7.275486342361859e-05
0.0,0.0,0.004650470846777049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35205644737058117,0.0,0.0,0.0,0.0,0.0,0.0,-0.029288434443718033,0.0,0.0,0.0,0.0,0.004729899028093479,0.0,0.0,0.0,0.0,0.0,0.0040551560312810896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.064409185238764e-05
0.0,0.0,0.0038308909325483775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2941173010357318,0.0,0.0,0.0,0.0,0.0,0.0,0.2974376094361986,0.0,0.0,0.0,0.0,0.02023705319718114,0.0,0.0,0.0,0.0,0.0,0.007108505192187155,0.0,0.0,0.0,0.0,0.0008513874290513623,0.0,0.0,0.001994477318471639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005170999976903401,0.0,0.005437703175291137,0.0004679722856483554
0.0,0.0,0.0022094652482351086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17416797974351275,0.00013417317385661098,0.00020616761858879254,0.0,0.0,0.0,0.0,-0.014329532667421834,0.0,0.0,0.0,0.0,-0.18475470399057953,0.0,0.0,0.0,0.0,0.0,0.002046571398086403,0.0,0.0,0.0,0.0,0.00020705631052404005,0.0,0.0,0.0,0.00018438453497855825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026439811724465983
0.0,0.0,0.004126234864772158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014416802176533273,0.28692764391466236,0.0,0.0,0.0,0.0,0.0,0.00118628334707575,-0.02313060561147698,0.0,0.0,0.0,0.0,0.01229322112250224,0.0,0.0,0.0,0.0,0.0,-0.6512582537043757,0.0,0.0,0.0,0.0,0.0006203442811278936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008398986096830192,0.0,0.0,0.0018369133936826545,0.0
0.0,0.0,0.004616350631871508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3519872984410825,6.0136401614795716e-05,0.0,0.0,0.0,0.0,0.0,-0.029302880517373037,0.0,0.0,0.0,0.0,0.004611452956903309,0.0,0.0,0.0,0.0,0.0,0.003934460590970569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.777837709537327e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.004685171765772267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35200309922048123,0.0,0.0,0.0,0.0,0.0,0.0,-0.02929242371381389,0.0,0.0,0.0,0.0,0.004605389805441548,0.0,0.0,0.0,0.0,0.0,0.004004961363081332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
