ClsNmCtnEncod,ParamDfRtn,MtdModFINAL,RtnTypByte[],MtdModPUBLIC,ClsEscapInvkd,MtdSanitiInvkd,ParamTypCtnStringbuilder,ClsNmEndsEncoder,MtdNmStrtSet,ClsSTATIC,MtdNmCtnEscapeNotUnescape,MtdNmCtnUnescape,MtdNmCtnStrip,MtdNmStrtPut,MethodEncodInvkd,MtdNmCtnVerif,MtdNmStrtGet,MtdNmCtnEncodNotEncoding,ParamTypEqRtnTyp,ImplicitMtd,ClsNmCtnPage,ClsFINAL,ClsEncodInvkd,RtnTypCharSequence,MethodEscapInvkd,MethodMatchInvkd,MethodRegexInvkd,ParamTypCtnChar[],RtnTypStr,MtdNmCtnReplac,ClsNmCtnValid,MethodStripInvkd,MtdConstructor,ClsNmCtnEscap,ParamTypCtnStr,ParamTypCtnCharsequence,MtdNmStrtHas,ParamTypCtnByte[],MtdNmCtnRegex,ClsRegexInvkd,MtdReplacInvkd,MtdCtnParams,ClsNmCtnSaniti,ClsSanitiInvkd,MtdModSTATIC,MtdNmCtnSaniti,ClsPUBLIC
0.0,0.0,0.0,0.0,0.0,0.0,-0.0009773387810512548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001355263346832946,-0.0007476273537382284,0.0,0.0,-0.0003520743699520251,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007891426822209225,0.0,-0.0002489630907541631,0.0,0.0,0.0,-0.0007189953599421121,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008208190272804887,0.0,0.0,-0.00014725345265669335,-0.0018224016782104001,0.0
0.0,0.0,0.0,0.0,-0.0008958779564583277,0.0,-0.000964091880754363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011903825630038033,-0.0006881068149285217,0.0,0.0,-0.00037947415802222023,0.0,0.0,0.0,0.0,0.0,0.0,-0.000672778726364057,0.0,-0.00029780917031130283,0.0,0.0,0.0,-0.0007358068530455188,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007022610195294595,0.0,0.0,0.0,-0.0014532936440561283,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0008422621844893638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015727304806394686,-0.0007171217873527227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.607045105932232e-05,-0.0009140640239529178,0.0,-0.00027378992889895453,0.0,0.0,0.0,-0.0007461150143339564,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007940774887596877,0.0,0.0,-8.341233961624697e-05,-0.00199020785240474,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0009161421512150237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002479929649376243,-0.0008954761216330645,0.0,0.0,-0.0007209074685168656,0.0,0.0,0.0,0.0,0.0,-0.00021896442658874467,-0.0012550832447266649,0.0,-0.00019981811275519767,0.0,0.0,0.0,0.0013191450885429994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002556370449732067,-0.0023559066144860238,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0008734018198583909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017195395204694566,-0.0008117544021385022,0.0,0.0,-0.00045402045465589043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000137471660853155,0.0,0.0,0.0,-0.0007205242905227854,-5.402024143483057e-05,0.0,0.0,0.0,0.0,0.0,-0.000987045365256816,0.0,0.0,-0.00012189968201737894,-0.0020999120541292824,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0009696271396338524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014093731905323694,-0.0007191817428326824,0.0,0.0,-0.00034505100622021805,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008219434811701307,0.0,-0.0002633109918519044,0.0,0.0,0.0,-0.0007216448726187835,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008590566631193146,0.0,0.0,-0.00011331078885279747,-0.0017573792658071824,0.0
0.0,0.0,-0.0011644539579784268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0051795233579886414,-0.0063192754903465265,0.0,0.0,0.00554096068159798,0.0,0.0,0.0,0.0,0.0,-0.0015898504667598721,-0.010630063102131045,-0.0016348103849376896,0.0,0.0,0.0,0.0,-0.006071380384917754,0.023791791169415447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028622891723442587,0.0
0.0,0.0,-5.854590890029543e-05,0.0,0.0,0.0,-0.0009323617023966689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017061472706624413,-0.0008021021377583037,0.0,0.0,-0.0004116336279867213,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009811746642792367,0.0,-0.00021692033055807088,0.0,0.0,0.0,-0.0007528832636964237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.876193967619912e-05,-0.00202916617118353,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0009159293753090587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013619790204992962,-0.0007124185349315442,0.0,0.0,-0.00035453654588425725,0.0,0.0,0.0,0.0,0.0,0.0,-0.000847609830378568,0.0,-0.00022873664547006685,0.0,0.0,0.0,-0.0007930046712133874,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007882670308882062,0.0,0.0,-0.00015535671365508007,-0.0018220407744097694,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-0.000973904302378007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014276531219446435,-0.0007381388830559185,0.0,0.0,-0.0003516086650679131,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008549957835112632,0.0,-0.0002047305974166768,0.0,0.0,0.0,-0.0007255589032128303,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008042733225961613,0.0,0.0,-9.543134061007139e-05,-0.0018035842228457499,0.0
