ClsNmCtnInput,ClsNmEndsReq,ClsAnonymous,ParamTypCtnSql,RtnTypStr,ClsNmCtnHibernate,MtdNmCtnExecute,ClsNmCtnDb,InnerCls,ClsNmEndsEncoder,MtdConstructor,ClsNmCtnJdbc,MtdNmCtnQuery,ParamTypCtnStr,ClsNmCtnDatabase,RtnTypResultSet,MtdCtnParams,ParamTypEqRtnTyp,ImplicitMtd,MtdMakedbInvkd,MtdNmCtnSaniti,ClsNmCtnSql
0.0,-0.00010120650186083631,0.0,0.0,-0.0002806436073808942,-0.0024568605802323365,-4.3600883564745216e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002384764351058868,0.0,0.0,-0.0010663986217137487,0.0,0.0,0.0,-0.0006291200442755686,-0.00027269697645690416
0.0,-0.00010453613034491038,0.0,0.0,-0.0002733305546436332,-0.0024548249248544404,-4.471936937290068e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002384749041219961,0.0,0.0,-0.0010508853992780712,0.0,0.0,0.0,-0.0006337455518378668,-0.00028850059499211837
0.0,-0.00010341938610254645,0.0,0.0,-0.00028659387737019714,-0.002462067769901048,-4.949274524297231e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002376010265096075,0.0,0.0,-0.0010651203155413772,0.0,0.0,0.0,-0.0006188118055241308,-0.00027377540176555705
0.0,-0.0010383755017370406,0.0,0.0,-0.0014173560247352918,-0.0035584678691437856,-0.0005126094645506686,0.0,0.0,0.0,0.0,0.000982434681772096,0.0,0.00881256768098151,0.0,0.0,0.00194819952388285,0.0,0.0,0.0,-0.0013766274165300638,-0.001882358579012816
0.0,-0.00024151472702889248,0.0,0.0,0.002200954883409962,-0.0028366101374035046,-0.0001493753754228998,0.0,0.0,0.0,0.0,0.0004436971449845468,0.0,-0.0030568042042863155,0.0,0.0,-0.00146971244142666,0.0,0.0,0.0,-0.0008616369126837358,-0.0005134391527731049
0.0,-0.00010459517645828085,0.0,0.0,-0.0002718554052948974,-0.0024689710141671973,-5.298356347178436e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023847159745892794,0.0,0.0,-0.0010662628194881795,0.0,0.0,0.0,-0.0006246692381614321,-0.00026123837491285137
0.0,-0.0002269769055086098,0.0,0.0,-0.00042425909886895753,-0.0027809362293222655,-0.00011796944127109511,0.0,0.0,0.0,0.0,0.00040931974565835624,0.0,-0.002780008332661383,0.0,0.0,0.00043827984375392374,0.0,0.0,0.0,-0.0007899713289474767,-0.0004550087034866797
0.0,-0.00022507727272448982,0.0,0.0,-0.0004283015184659514,-0.0027838063305285887,-0.00011645855413683608,0.0,0.0,0.0,0.0,0.000410391776591071,0.0,-0.0027785997946924426,0.0,0.0,0.0004418717351613463,0.0,0.0,0.0,-0.0007932964362402078,-0.00045425405561808936
0.0,-0.00010953029322517972,0.0,0.0,-0.0002759147020467788,-0.0024739959598627168,-4.31261944911325e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023741513442898337,0.0,0.0,-0.0010609747423348081,0.0,0.0,0.0,-0.000622872509641851,-0.0002747258206516011
0.0,-0.00011269173214339959,0.0,0.0,-0.00026957785994393324,-0.002462305253365212,-6.133975947012187e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023784721518897937,0.0,0.0,-0.0010689500446112265,0.0,0.0,0.0,-0.000611841422392819,-0.00027011334272739615
0.0,-8.40801312358944e-05,0.0,0.0,-0.00021145110760769923,-0.002126013570518466,-2.829014750185474e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020531435304896616,0.0,0.0,-0.000882405992298072,0.0,-0.0014910389191569733,0.0,-0.0004984561330940244,-0.00017710087093106747
0.0,-0.0010895259767691285,0.0,0.0,-0.0014772369485544549,-0.0035591708541766417,-0.0005137236809030134,0.0,0.0,0.0,0.0,0.0010127227649796898,0.0,0.008840414561842305,0.0,0.0,0.001963901134031969,0.0,0.0,0.0,-0.001372434878492214,-0.001847539091031723
0.0,-0.00022463191146550223,0.0,0.0,-0.0004295112182243225,-0.002781663211304512,-0.0001194382931141479,0.0,0.0,0.0,0.0,0.0004080470204185383,0.0,-0.00277600811756118,0.0,0.0,0.0004395097043886583,0.0,0.0,0.0,-0.0007916758420113062,-0.00045215858178041234
0.0,-0.00011772945879779984,0.0,0.0,-0.0002765444928910109,-0.002469322659883284,-4.212724681739756e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023705641795589757,0.0,0.0,-0.001058389558799455,0.0,0.0,0.0,-0.0006314312950323892,-0.0002691826747635905
0.0,0.3127176193584955,0.0,0.0,0.05888272442484176,0.0,0.0020130312340191914,0.004911098997132717,-0.0034652211810589904,0.0,0.0,0.0022933620526154742,0.5806344642374078,-0.026079012613854223,0.0,0.0,-0.02348230618815119,0.0,0.0,0.0,0.0,-0.0035202921669141665
0.0,-0.00010930674727568306,0.0,0.0,-0.0002784920423022434,-0.00246407524971162,-4.511569849072021e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023852768530923368,0.0,0.0,-0.0010597854251207803,0.0,0.0,0.0,-0.0006295275757256664,-0.0002637119748248524
0.0,-0.0010865340308731364,0.0,0.0,-0.0014495315445373848,-0.0035247632049638725,-0.0005640452572115112,0.0,0.0,0.0,0.0,0.000989926342746159,0.0,0.008857087267018122,0.0,0.0,0.001967250886193542,0.0,0.0,0.0,-0.0013443962776883273,-0.0018875871497568031
0.0,-0.0036900480075197895,0.0,0.0,0.03390260376717309,-0.002849760480645197,-0.0023597611255819564,0.0,0.0,0.08308207813180288,0.0,0.0,0.0,0.059892273396066086,0.0,0.0,0.015546102164279992,-0.010763717220875813,0.0,0.0,-0.0018158312900535822,-0.0024842213208121533
0.0,-0.00011438720492479285,0.0,0.0,-0.0002802424364028875,-0.002463502044162483,-5.310246152209156e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002392330720484565,0.0,0.0,-0.001047858989393705,0.0,0.0,0.0,-0.0006194358665319233,-0.0002644318431214546
0.0,-0.00022470141615496154,0.0,0.0,-0.00042798848306826906,-0.002779542156887964,-0.00011957734095063496,0.0,0.0,0.0,0.0,0.0004142301016730091,0.0,-0.0027825235905214996,0.0,0.0,0.00043732442022049344,0.0,0.0,0.0,-0.0007941332316169633,-0.0004506187533473961
0.0,-0.00023134268911208803,0.0,0.0,-0.00042859424407654936,-0.0027807406679006357,-0.00011680447134279192,0.0,0.0,0.0,0.0,0.000406441909347657,0.0,-0.002778079430959641,0.0,0.0,0.000448578635270561,0.0,0.0,0.0,-0.0007908883032102697,-0.00045610118867042953
0.0,-7.684720919526947e-05,0.0,0.0,-0.00020829514892589397,-0.0021200801337545377,-4.3741434446691214e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020458764099996517,0.0,0.0,-0.0008711258397659357,0.0,-0.0014885653835269785,0.0,-0.0005237750230126549,-0.00017367382020610033
0.0,-0.0010446532028097319,0.0,0.0,-0.001432597770841777,-0.0035635387082326234,-0.0005210870941122574,0.0,0.0,0.0,0.0,0.0009891743510888312,0.0,0.008826658830143037,0.0,0.0,0.00191981843338395,0.0,0.0,0.0,-0.0013536207252655154,-0.0018627470824271245
0.0,-0.00010822550560943267,0.0,0.0,-0.0002826104680979626,-0.0024526207784936797,-6.416983921554969e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002377411217736995,0.0,0.0,-0.0010632013504358912,0.0,0.0,0.0,-0.0006240213002904553,-0.0002630311066639363
0.0,-0.0010861886440680858,0.0,0.0,-0.0014289985601340534,-0.003518148649866234,-0.0005444577104506906,0.0,0.0,0.0,0.0,0.001052349834696275,0.0,0.008816451998913106,0.0,0.0,0.001926567653241249,0.0,0.0,0.0,-0.001327887257594537,-0.0019322816338102407
0.0,-0.0001023673931933622,0.0,0.0,-0.0002776520092863529,-0.0024672924339730856,-3.854665119117605e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002381643858665353,0.0,0.0,-0.0010547863390749197,0.0,0.0,0.0,-0.000637356582074476,-0.00027564629908517736
0.0,-0.001066394683425005,0.0,0.0,-0.0014706187335337731,-0.0035496495276381257,-0.0004953391976221071,0.0,0.0,0.0,0.0,0.000984356534426722,0.0,0.00887542562136929,0.0,0.0,0.0019317845491661808,0.0,0.0,0.0,-0.001349062155651766,-0.0019030953761646273
0.0,-0.00025279131121356613,0.0,0.0,0.0022037660835724513,-0.0028388740058142427,-0.00014576178653114957,0.0,0.0,0.0,0.0,0.0004624644830942158,0.0,-0.0030457416387385233,0.0,0.0,-0.0014824146400104702,0.0,0.0,0.0,-0.0008477624074612255,-0.0005373256995280932
0.0,-8.24041430484198e-05,0.0,0.0,-0.00024092289539190694,-0.0023175998872555646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002237783355799974,0.0,0.0,0.0,0.0,-0.0017527039774792202,0.0,-0.0005385863707394426,-0.00019801999413837963
0.0,-8.353251503587494e-05,0.0,0.0,-0.00022542897370071894,-0.0023008091427564386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022408358823145843,0.0,0.0,0.0,0.0,-0.001751910013514311,0.0,-0.0005736562892193613,-0.00019184780731161847
0.0,-6.283191554622639e-05,0.0,0.0,-0.0001968257105846941,-0.002138132428735715,-4.1605039773186595e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002059340882135471,0.0,0.0,-0.0008860724249375797,0.0,-0.001478905109797328,0.0,-0.0005123592590921296,-0.0001759076322313833
0.0,-0.00010990495387577823,0.0,0.0,-0.0002857667710646215,-0.002481383161485244,-2.5591114919940906e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002365420798556342,0.0,0.0,-0.0010741035556068896,0.0,0.0,0.0,-0.0006281236435107698,-0.0002649975675243171
0.0,-0.00022197340196381714,0.0,0.0,-0.0004235487158149074,-0.002780966127789438,-0.0001163641409904579,0.0,0.0,0.0,0.0,0.0004130670304334044,0.0,-0.0027852715623205874,0.0,0.0,0.0004335443419270887,0.0,0.0,0.0,-0.0007915863069170756,-0.0004544315672183962
0.0,-0.00010757995128345816,0.0,0.0,-0.0002765885823321567,-0.0024638960456488403,-4.622924303019759e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023856392587344685,0.0,0.0,-0.0010535941838484672,0.0,0.0,0.0,-0.0006352525266968636,-0.00026651177496945036
0.0,-0.00011036660990638666,0.0,0.0,-0.0002696530638505285,-0.0024761912257385233,-6.154041029674331e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023838273974406262,0.0,0.0,-0.0010541651672903388,0.0,0.0,0.0,-0.000611785149742512,-0.00026776254227824336
0.0,-0.00022375880258176226,0.0,0.0,-0.00042640415161766517,-0.002779991032215637,-0.00011785300273499874,0.0,0.0,0.0,0.0,0.0004081739946265855,0.0,-0.002782273800688848,0.0,0.0,0.00044131126236830726,0.0,0.0,0.0,-0.0007898404213274553,-0.0004568944964827119
0.0,-0.0010653174039490516,0.0,0.0,-0.0014350728844583097,-0.0035568387286316113,-0.0005356645758252047,0.0,0.0,0.0,0.0,0.0010285047794484923,0.0,0.008857079225970538,0.0,0.0,0.0019460384873041191,0.0,0.0,0.0,-0.001358832374181643,-0.0019224894947505405
0.0,-0.00010322185323532225,0.0,0.0,-0.00027863580376623164,-0.0024758262365610125,-3.914676325494394e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002376235921199479,0.0,0.0,-0.0010668206842919332,0.0,0.0,0.0,-0.0006269957503339825,-0.0002684085539009977
0.0,-0.0001055783810832845,0.0,0.0,-0.00027296757530774187,-0.002485206016154022,-3.759735740001269e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023917290094457692,0.0,0.0,-0.0010353971386558285,0.0,0.0,0.0,-0.0006342841359180079,-0.00027253195257923615
0.0,-0.0010456591730367882,0.0,0.0,-0.001471485635529136,-0.0035537056416650513,-0.0005143012639264688,0.0,0.0,0.0,0.0,0.0009932497570385107,0.0,0.008839841129572906,0.0,0.0,0.0019380122860858753,0.0,0.0,0.0,-0.0013792604034374995,-0.001849284024175559
0.0,-0.00022990159569294313,0.0,0.0,-0.0004264355237485534,-0.0027816967105225485,-0.00011518622309832343,0.0,0.0,0.0,0.0,0.0004134379368381051,0.0,-0.002779934548362496,0.0,0.0,0.00043814548812002197,0.0,0.0,0.0,-0.0007922137093071441,-0.0004537455648803061
0.0,-0.0002095503052481735,0.0,0.0,-0.0003917316003691091,-0.0026947820254306742,-0.00011088089862685694,0.0,0.0,0.0,0.0,0.00037487440345892266,0.0,-0.0026338140444809965,0.0,0.0,0.0003870245816468311,-0.0005136189142078159,0.0,0.0,-0.0007499913385492921,-0.0004073252793777829
0.0,-0.0010465020057429959,0.0,0.0,-0.0014233116791473406,-0.003590534756006116,-0.0005244591102107339,0.0,0.0,0.0,0.0,0.0010005776796235177,0.0,0.008839589920354754,0.0,0.0,0.0019275098992460828,0.0,0.0,0.0,-0.0013472513138178572,-0.0018782116033725226
0.0,-0.00023811145587168854,0.0,0.0,0.0021882691618201233,-0.00285134741795142,-0.0001513715576048236,0.0,0.0,0.0,0.0,0.000449679392078667,0.0,-0.003044272347662108,0.0,0.0,-0.0014654467600668881,0.0,0.0,0.0,-0.0008473168506050368,-0.0005245230867674278
0.0,-9.052345229860929e-05,0.0,0.0,-0.0002246337122413113,-0.0023029624875713145,-2.1288506527552924e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002238325157756273,0.0,0.0,0.0,0.0,-0.0017555659316553897,0.0,-0.0005520821156378421,-0.00018263926016461496
0.0,-6.825999774870677e-05,0.0,0.0,-0.00022880227443116088,-0.0022417883635814065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021750100471827714,0.0,0.0,0.0,-0.0003489600436261376,-0.0016543223447709964,0.0,-0.0005390769494356725,-0.0001923409703082358
0.0,-0.0001099417654237688,0.0,0.0,-0.00027531819114961565,-0.002464600551747955,-4.534953732921246e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023834847279219137,0.0,0.0,-0.0010653107982838965,0.0,0.0,0.0,-0.0006226436330419544,-0.000268642361645585
0.0,-0.000103789174387509,0.0,0.0,-0.0002814681463648088,-0.0024825937005099863,-4.05421709581133e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002378547187507447,0.0,0.0,-0.0010458115777727327,0.0,0.0,0.0,-0.000633107095862258,-0.0002694325131810466
0.0,-0.001076478786567505,0.0,0.0,-0.001485509068665635,-0.0035124970919339187,-0.0004910039614580502,0.0,0.0,0.0,0.0,0.0010462013906094244,0.0,0.008824199950521135,0.0,0.0,0.0019510124014242,0.0,0.0,0.0,-0.0013751837589437712,-0.0019233340440590915
0.0,-0.0002292885778277931,0.0,0.0,-0.0004248335370079378,-0.0027806028225197304,-0.00011659067431644358,0.0,0.0,0.0,0.0,0.0004085911934140883,0.0,-0.0027786062048125635,0.0,0.0,0.0004424321044730281,0.0,0.0,0.0,-0.000793409938178359,-0.000455221993878477
0.0,-0.00024013727947558918,0.0,0.0,0.0021919807937005316,-0.0028509460853454733,-0.00013936967425766795,0.0,0.0,0.0,0.0,0.0004513838231866747,0.0,-0.0030428226080934967,0.0,0.0,-0.0014746648109084197,0.0,0.0,0.0,-0.0008560509511911261,-0.0005238141302460379
0.0,-0.00023936705000995986,0.0,0.0,0.0021765086754209893,-0.002837047855272304,-0.00014443325733221307,0.0,0.0,0.0,0.0,0.00044129304077539726,0.0,-0.0030490525066486584,0.0,0.0,-0.001458229620631601,0.0,0.0,0.0,-0.0008501636126252963,-0.0005239487363069588
0.0,-0.00010564681455590383,0.0,0.0,-0.0002740225892635384,-0.0024732819196348864,-3.997999036513787e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.00239387389030843,0.0,0.0,-0.001055409546689582,0.0,0.0,0.0,-0.0006285441970613882,-0.0002645326186650359
0.0,-0.00011785669541627882,0.0,0.0,-0.00027714989443763217,-0.0024681029703331084,-4.2795515211687535e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002382072803586176,0.0,0.0,-0.0010622657396100834,0.0,0.0,0.0,-0.000622374278942347,-0.000262673669006589
0.0,-0.00011420589885515496,0.0,0.0,-0.0002809614094393794,-0.002464107563515223,-4.941300310733199e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002390377732306187,0.0,0.0,-0.0010582221102760267,0.0,0.0,0.0,-0.0006127377972904376,-0.0002652660517541616
0.0,-0.00012101169447585297,0.0,0.0,-0.00027616083631525534,-0.002471629706893815,-4.823316511213659e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023812890929728477,0.0,0.0,-0.00104981526624108,0.0,0.0,0.0,-0.0006226929888005911,-0.00026445881573232465
0.0,-0.0002461688614905282,0.0,0.0,0.002190840242258738,-0.00284284554070001,-0.00014981218363528648,0.0,0.0,0.0,0.0,0.0004213457337095116,0.0,-0.003031950222859873,0.0,0.0,-0.0014607950222194886,0.0,0.0,0.0,-0.0008453775835392189,-0.0005196774841544494
0.0,-0.0002256156583566396,0.0,0.0,-0.00042401686731181225,-0.002779631429938588,-0.00011639337546351554,0.0,0.0,0.0,0.0,0.0004106572514432375,0.0,-0.002775807774845347,0.0,0.0,0.00043915335719240355,0.0,0.0,0.0,-0.0007949071135204546,-0.00046096883985347227
0.0,-0.00011124120959981687,0.0,0.0,-0.00027668110277050833,-0.002466262275527443,-4.199050963672995e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023822098935082714,0.0,0.0,-0.0010561444648001185,0.0,0.0,0.0,-0.0006227547400026105,-0.0002780073706984036
0.0,-0.00012139860290499644,0.0,0.0,-0.00027927209942751885,-0.002469264620613298,-3.9252462889052646e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.002373857406191597,0.0,0.0,-0.001062651016799173,0.0,0.0,0.0,-0.0006227074859674896,-0.0002668878717507768
0.0,-0.00023945319336795808,0.0,0.0,0.0022073702830438624,-0.0028347373508601655,-0.00014684027401810738,0.0,0.0,0.0,0.0,0.000447733823051257,0.0,-0.0030484927097240333,0.0,0.0,-0.0014746662102404406,0.0,0.0,0.0,-0.0008657988445550526,-0.0005295564459599668
0.0,-0.0002240977222642326,0.0,0.0,-0.0004252253836872653,-0.002780895781429282,-0.00012180434582608205,0.0,0.0,0.0,0.0,0.00041380471625203016,0.0,-0.002779401545864104,0.0,0.0,0.0004356009692308367,0.0,0.0,0.0,-0.0007896518522639328,-0.0004558595048021564
0.0,-0.0010726017439943475,0.0,0.0,-0.0014435604998191917,-0.003549310315932086,-0.000513724577490738,0.0,0.0,0.0,0.0,0.0010119373139434481,0.0,0.008828453283134892,0.0,0.0,0.0019177389800096934,0.0,0.0,0.0,-0.0013792220776021153,-0.001842303331322767
